pond	year	block	replicates	treatment	count_w12	count_w14
4A	2023	1	1	Herbivory	180	382
4C	2023	1	2	Control	180	224
4D	2023	1	3	Herbivory	180	365
4B	2023	1	4	Control	180	221
5A	2023	2	5	Herbivory	180	405
5B	2023	2	6	Control	180	381
5D	2023	2	7	Herbivory	180	326
5C	2023	2	8	Control	180	289
7A	2023	3	9	Control	180	273
7B	2023	3	10	Herbivory	180	344
7D	2023	3	11	Control	180	392
7C	2023	3	12	Herbivory	180	391
8B	2023	4	13	Control	180	307
8D	2023	4	14	Herbivory	180	316
4A	2024	1	1	Herbivory	180	236
4B	2024	1	2	Control	180	212
4C	2024	1	3	Control	180	223
4D	2024	1	4	Herbivory	180	195
5A	2024	2	5	Herbivory	180	193
5B	2024	2	6	Control	180	252
5C	2024	2	7	Control	180	198
7B	2024	3	10	Herbivory	180	210
7C	2024	3	11	Herbivory	180	247
7D	2024	3	12	Control	180	190
8B	2024	4	13	Control	180	197
4A	2024	1	1	Herbivory	180	168
4B	2024	1	2	Control	180	239
4C	2024	1	3	Control	180	211
4D	2024	1	4	Herbivory	180	204
5A	2024	2	5	Herbivory	180	241
5B	2024	2	6	Control	180	201
5C	2024	2	7	Control	180	217
7B	2024	3	10	Herbivory	180	210
7C	2024	3	11	Herbivory	180	316
7D	2024	3	12	Control	180	175
8B	2024	4	13	Control	180	214
8D	2024	4	14	Herbivory	180	298
