pond	year	block	timepoint	replicates	treatment	count_D0	count_20h_snail	count_20h_nonsnail	growth_fronds	consumed_fronds	adjusted_consumed
4A	2023	1	w11	1	Herbivory	180	193	193	13	-13	0
4C	2023	1	w11	2	Control	180	183	180	0	-3	-3
4D	2023	1	w11	3	Herbivory	180	184	184	4	-4	0
4B	2023	1	w11	4	Control	180	182	181	1	-2	-1
5A	2023	2	w11	5	Herbivory	180	186	191	11	-6	5
5B	2023	2	w11	6	Control	180	169	188	8	11	19
5D	2023	2	w11	7	Herbivory	180	181	185	5	-1	4
5C	2023	2	w11	8	Control	180	176	180	0	4	4
7A	2023	3	w11	9	Control	180	176	191	11	4	15
7D	2023	3	w11	10	Control	180	178	190	10	2	12
7C	2023	3	w11	11	Herbivory	180	183	192	12	-3	9
8B	2023	4	w11	12	Control	180	174	184	4	6	10
8D	2023	4	w11	13	Herbivory	180	188	189	9	-8	1
4A	2024	1	w6	1	Herbivory	180	172	190	10	8	18
4B	2024	1	w6	2	Control	180	173	186	6	7	13
4C	2024	1	w6	3	Control	180	181	187	7	-1	6
4D	2024	1	w6	4	Herbivory	180	177	191	11	3	14
5A	2024	2	w6	5	Herbivory	180	161	166	-14	19	5
5B	2024	2	w6	6	Control	180	138	177	-3	42	39
5C	2024	2	w6	7	Control	180	124	181	1	56	57
7B	2024	3	w6	10	Herbivory	180	180	199	19	0	19
7C	2024	3	w6	11	Herbivory	180	176	197	17	4	21
7D	2024	3	w6	12	Control	180	164	179	-1	16	15
8B	2024	4	w6	13	Control	180	132	180	0	48	48
8D	2024	4	w6	14	Herbivory	180	159	187	7	21	28
4A	2024	1	w12	1	Herbivory	180	163	174	-6	17	11
4B	2024	1	w12	2	Control	180	165	184	4	15	19
4C	2024	1	w12	3	Control	180	165	181	1	15	16
4D	2024	1	w12	4	Herbivory	180	171	174	-6	9	3
5A	2024	2	w12	5	Herbivory	180	182	181	1	-2	-1
5B	2024	2	w12	6	Control	180	172	182	2	8	10
5C	2024	2	w12	7	Control	180	174	174	-6	6	0
7B	2024	3	w12	10	Herbivory	180	181	196	16	-1	15
7C	2024	3	w12	11	Herbivory	180	159	193	13	21	34
7D	2024	3	w12	12	Control	180	177	178	-2	3	1
8B	2024	4	w12	13	Control	180	173	179	-1	7	6
8D	2024	4	w12	14	Herbivory	180	182	186	6	-2	4
