year	pond	block	treatment	timepoint	Chlorophyll_a
2023	4A	1	herbivory	0	22.11154941
2023	4B	1	control	0	15.72091432
2023	4C	1	control	0	12.43067378
2023	4D	1	herbivory	0	0.868803422
2023	5A	2	herbivory	0	41.34865448
2023	5B	2	control	0	29.36221825
2023	5C	2	control	0	35.51898921
2023	5D	2	herbivory	0	18.26710196
2023	7A	3	control	0	8.950958047
2023	7B	3	herbivory	0	16.73660641
2023	7C	3	herbivory	0	29.34546744
2023	7D	3	control	0	10.63637163
2023	8B	4	control	0	4.092527726
2023	8D	4	herbivory	0	21.05730253
2023	4A	1	herbivory	5	2.378454432
2023	4B	1	control	5	4.455583055
2023	4C	1	control	5	0.942978942
2023	4D	1	herbivory	5	1.078344065
2023	5A	2	herbivory	5	1.006342482
2023	5B	2	control	5	0.695916877
2023	5C	2	control	5	1.801062111
2023	5D	2	herbivory	5	1.381057298
2023	7A	3	control	5	2.125638093
2023	7B	3	herbivory	5	0.507430549
2023	7C	3	herbivory	5	1.266719888
2023	7D	3	control	5	1.201411378
2023	8B	4	control	5	0.252451728
2023	8D	4	herbivory	5	1.0413558
2023	4A	1	herbivory	7	4.585625449
2023	4B	1	control	7	1.010812192
2023	4C	1	control	7	1.69985881
2023	4D	1	herbivory	7	1.315916756
2023	5A	2	herbivory	7	2.015021863
2023	5B	2	control	7	1.218292136
2023	5C	2	control	7	1.873848133
2023	5D	2	herbivory	7	3.462106902
2023	7A	3	control	7	2.294682471
2023	7B	3	herbivory	7	0.800111527
2023	7C	3	herbivory	7	3.024843929
2023	7D	3	control	7	4.128068058
2023	8B	4	control	7	0.871248679
2023	8D	4	herbivory	7	1.677693957
2023	4A	1	herbivory	11	2.53288283
2023	4B	1	control	11	0.571532344
2023	4C	1	control	11	1.802037503
2023	4D	1	herbivory	11	1.336021316
2023	5A	2	herbivory	11	2.797823949
2023	5B	2	control	11	1.46275504
2023	5C	2	control	11	0.709116869
2023	5D	2	herbivory	11	3.638216659
2023	7A	3	control	11	2.318427403
2023	7B	3	herbivory	11	3.034199218
2023	7C	3	herbivory	11	0.803826427
2023	7D	3	control	11	3.158422992
2023	8B	4	control	11	0.995259504
2023	8D	4	herbivory	11	0.626969859
2023	4A	1	herbivory	13	0.866596857
2023	4B	1	control	13	0.981202721
2023	4C	1	control	13	0.383143261
2023	4D	1	herbivory	13	2.716551136
2023	5A	2	herbivory	13	1.008029232
2023	5B	2	control	13	0.504667038
2023	5C	2	control	13	0.599867618
2023	5D	2	herbivory	13	2.908364404
2023	7A	3	control	13	1.065257315
2023	7B	3	herbivory	13	3.405324964
2023	7C	3	herbivory	13	2.264336509
2023	7D	3	control	13	1.945130106
2023	8B	4	control	13	0.435820302
2023	8D	4	herbivory	13	2.075922167
2024	4A	1	herbivory	51	4.137416789
2024	4B	1	control	51	3.086035967
2024	4C	1	control	51	2.985547055
2024	4D	1	herbivory	51	3.785069088
2024	5A	2	herbivory	51	3.894093414
2024	5B	2	control	51	0.701565898
2024	5C	2	control	51	1.551444365
2024	7B	3	herbivory	51	0.477999226
2024	7C	3	herbivory	51	1.709292788
2024	7D	3	control	51	2.783561425
2024	8B	4	control	51	0.728706753
2024	8D	4	herbivory	51	3.092666273
2024	4A	1	herbivory	54	0.793037594
2024	4B	1	control	54	2.912153992
2024	4C	1	control	54	3.788114609
2024	4D	1	herbivory	54	2.368466406
2024	5A	2	herbivory	54	12.91981352
2024	5B	2	control	54	4.905195571
2024	5C	2	control	54	1.383831923
2024	7B	3	herbivory	54	0.966035528
2024	7C	3	herbivory	54	0.551671737
2024	7D	3	control	54	1.404776112
2024	8B	4	control	54	7.836809069
2024	8D	4	herbivory	54	4.399632116
2024	4A	1	herbivory	59	0.834145489
2024	4B	1	control	59	22.66665451
2024	4C	1	control	59	19.42575582
2024	4D	1	herbivory	59	0
2024	5A	2	herbivory	59	12.06722694
2024	5B	2	control	59	15.19315967
2024	5C	2	control	59	3.262725656
2024	7B	3	herbivory	59	1.650426282
2024	7C	3	herbivory	59	2.0179232
2024	7D	3	control	59	1.487588629
2024	8B	4	control	59	4.227376776
2024	8D	4	herbivory	59	8.896941894
2024	4A	1	herbivory	61	3.978766837
2024	4B	1	control	61	9.644071252
2024	4C	1	control	61	22.53380971
2024	4D	1	herbivory	61	0
2024	5A	2	herbivory	61	1.754339084
2024	5B	2	control	61	18.23471955
2024	5C	2	control	61	2.535287421
2024	7B	3	herbivory	61	3.205938414
2024	7C	3	herbivory	61	3.565221415
2024	7D	3	control	61	2.256755649
2024	8B	4	control	61	2.495116609
2024	8D	4	herbivory	61	14.56422479
2024	4A	1	herbivory	63	3.586317574
2024	4B	1	control	63	2.9569496
2024	4C	1	control	63	23.43447042
2024	4D	1	herbivory	63	0
2024	5A	2	herbivory	63	2.755541753
2024	5B	2	control	63	15.17570871
2024	5C	2	control	63	1.849425034
2024	7B	3	herbivory	63	5.519096705
2024	7C	3	herbivory	63	4.734674719
2024	7D	3	control	63	2.679067808
2024	8B	4	control	63	2.176036835
2024	8D	4	herbivory	63	13.44714383
