sample_ID	year	genotype_treatment	genotype	pond	block	treatmentpond	Treatment	direct_herbivory	indirect_herbivory	mesh	timepoint	fitness	L_Alanine	L_Arginine	L_Asparagine	L_Aspartic_Acid	L_Glutamic_acid	L_Glutamine	L_Isoleucine_1	L_Leucine_2	L_Phenylalanine	L_Proline	L_Serine	L_Threonine	L_Tryptophane	L_Valine	Ornithine	Chlorogenic_acid	putative_Chlorogenic_acid_Isomer	Cyanidine_3_Glc	Luteoline_8_C_Glc	Apigenine_8_C_Glc	Luteoline_7_O_Glc	Apigenine_7_O_Glc	Glycine	L_Histidine	L_Methionine	L_Tyrosine	Tyramine	Tryptamine	Shikimic_acid	Apigenine	Luteoline	ABA	SA	JA	JA-Ile	OPDA	IP	IPR	tZ	tZR	cZ	cZR	IAA 	Coumaric_acid_p	Caffeic_acid	Ferulic_acid	Sinapic_acid	Cyanidin_Mal_Glc
"4A, A1-"	2023	A-	A	4A	1	herbivory	indirect	0	1	1	w11	-0.003670254	1.691523178	2.931688291	6.526302525	2.657751953	6.303685077	2.375106096	0.514596314	0.327910557	0.433269508	0.574952091	1.401747921	1.252102196	0.851276840	1.154567380	0.946386923	0.599543774	0.357061202	6.983663383	7.808716103	2.551143609	16.250330926	1.330400613	1.807743415	0.614597756	0.054607159	0.234844914	0.033154355	0.005249668	0.164088901	NA	0.022904071	NA	1485.887023	NA	NA	NA	NA	3.431807732	8.095259957	2.505176015	5.754422453	25.25594516	33.50438817	545.2366428	104.2588025	18.02147329	4777.290036	62.64750197
"4A, B1+"	2023	B+	B	4A	1	herbivory	direct	1	1	0	w11	-0.192958509	4.418887624	0.218383614	16.089521746	7.609835289	13.467898282	4.436101550	0.580088135	0.631452951	0.474915697	0.434266208	3.181683149	1.661285847	0.494370598	1.191055518	0.519292879	1.758445414	2.404185205	13.275734179	20.029994613	10.875717869	31.034567507	5.086555939	0.686240525	0.253323424	0.041636124	0.203608648	0.182246528	0.006539145	2.825403636	NA	0.037399519	15.46071187	1120.202342	129.3982202	22.53640818	12775.14251	NA	7.88117276	5.087638621	8.917450077	3.88295978	87.20536278	55.26164765	1696.715675	1222.430133	240.0037552	1744.630127	11.25975934
"4A, B1-"	2023	B-	B	4A	1	herbivory	indirect	0	1	1	w11	-0.061771463	5.383394647	1.557498607	47.111086654	11.006596700	15.834781381	4.344755560	0.503869279	0.442508033	0.578436399	0.438868037	4.594878668	1.759403784	0.373042850	1.312906664	1.540914768	3.457607474	3.661753283	32.038274825	30.059596794	12.247368717	47.688611677	5.668505882	0.916039813	0.281055787	0.050105840	0.172242891	0.082181066	0.010867824	2.195393324	NA	0.046800226	11.66864282	848.7212161	1860.094006	475.7909695	69626.77841	13.95674907	13.25748829	10.1596176	23.34298546	1.950729399	135.5808696	31.58052725	1610.362353	558.0196689	64.30098085	4129.062045	21.62401824
"4A, C1+"	2023	C+	C	4A	1	herbivory	direct	1	1	0	w11	-0.113306536	4.803867070	1.068018427	52.546725017	12.532140554	18.426643138	7.495984552	0.683574220	0.637926142	0.586194420	0.632160388	4.196991545	2.264877595	0.745579749	1.533642837	1.364600240	1.972805548	2.638701683	31.520167156	30.414338401	13.182256104	46.863716693	6.312673990	0.485873380	0.295763996	0.047406414	0.292417440	0.250166709	0.010180376	2.875392111	NA	0.077499893	NA	1268.223193	171.9497188	66.45493674	17207.88675	5.496377108	8.824852776	15.36156346	14.35882639	4.167162413	86.20703779	52.29108788	2026.808209	962.5556554	85.1282642	2044.4542	16.09712992
"4A, C1-"	2023	C-	C	4A	1	herbivory	indirect	0	1	1	w11	0.002435211	1.714228620	0.609754511	0.913266287	3.282110036	7.933584262	2.821177389	0.343393335	0.151431257	0.399506198	0.195674895	0.948322795	0.968253083	0.589498947	0.797125451	0.196139064	1.656905373	0.976048156	33.130976119	20.171805936	5.624395281	37.849027934	2.567587886	0.695528802	0.236913502	0.049924283	0.153100574	0.012723601	0.009133594	0.822748231	NA	0.038237826	36.55323271	482.0109177	19.97475542	NA	1651.170341	NA	4.428608313	6.527043322	11.39581367	1.057541587	124.2639049	11.3182212	858.7282892	148.8259204	111.2145887	2026.642703	19.99396412
"4A, D1-"	2023	D-	D	4A	1	herbivory	indirect	0	1	1	w11	0.024755256	3.142426871	3.766347079	13.790883678	3.854210868	11.286615973	4.377752451	0.771862943	0.328968506	1.127416880	0.398182226	1.434068518	1.604774946	1.064335225	1.608020759	1.196632818	1.187629005	0.684270360	11.601907853	12.036763580	3.538762129	25.420299676	1.739498495	1.573832990	1.213062241	0.068446847	0.305021974	0.044954479	0.013657751	NA	NA	0.045428892	NA	6307.904407	NA	NA	25950.89943	NA	125.1021694	NA	NA	95.02824159	174.7528553	59.83931159	1320.865301	337.5704721	95.53605543	2038.429599	6.866941894
"4A, E1+"	2023	E+	E	4A	1	herbivory	direct	1	1	0	w11	0.000000000	3.260276039	3.124653358	17.856117924	9.001445682	12.967873424	4.412593697	0.802550463	0.600620453	0.645257815	0.999755932	3.265533890	1.823891946	1.218192882	1.917834085	1.608044461	1.410928458	1.521512606	22.961316853	22.857796909	10.234381523	41.063517409	6.008025142	2.226534432	0.700134938	0.061718808	0.299892172	NA	0.011508690	1.948097892	NA	0.029590963	48.32465527	5105.389194	NA	NA	NA	11.87549935	8.875660742	8.309799344	8.516199392	7.03583663	39.04366579	65.68140453	1194.029365	377.1890655	32.8832404	7052.80664	7.153170249
"4A, E1-"	2023	E-	E	4A	1	herbivory	indirect	0	1	1	w11	0.012016866	2.457303830	0.684308266	3.884321055	2.493639571	5.880325005	2.535033173	0.726328809	0.399899338	0.671021651	0.551068860	1.631453407	1.332444581	NA	1.270757041	0.787961254	0.930451542	0.511451782	8.009132999	10.793999834	3.776484497	23.515542371	2.006149933	0.959780057	0.515416562	0.020243804	0.153859736	NA	0.004713568	0.258742600	NA	0.020860203	NA	2421.352264	NA	NA	NA	NA	5.770687667	10.86381593	2.541002955	6.80041191	42.38940969	45.62781847	556.3172068	119.512178	22.12375957	3874.020493	8.798072442
"4A, F1+"	2023	F+	F	4A	1	herbivory	direct	1	1	0	w11	-0.011381805	3.982717662	2.081012595	36.799207393	14.748445971	25.082377988	7.264421830	0.966757935	0.854352726	0.805008541	0.850265731	4.241108756	2.549647077	0.836552448	1.961529685	1.347213279	2.332290646	2.716636917	30.776141656	35.828665406	17.404232001	59.621026604	9.001089300	0.924372747	0.447908031	0.057254185	0.311034653	0.401825876	0.014381816	2.648531969	NA	0.070511162	10.42519286	1308.308321	22.92951728	NA	NA	NA	10.57430188	8.862365341	19.37379009	4.64301749	97.78094395	45.03384064	2110.25273	831.551854	224.7796263	1969.29656	16.63722029
"4A, F1-"	2023	F-	F	4A	1	herbivory	indirect	0	1	1	w11	-0.049510513	1.914919409	1.351628597	2.649711666	5.048165468	11.701851062	2.014718244	0.441319917	0.309660968	0.403731243	0.382912546	1.267293272	1.078321029	0.442620804	0.899075691	0.331519647	1.306429045	0.712845362	23.903550908	17.878350187	6.250991243	33.542372267	2.963131706	0.832567055	0.316495039	0.060566200	0.187355758	0.014051076	0.004070099	0.586430064	NA	0.028349272	12.61439793	891.6799689	NA	NA	NA	NA	4.826421977	NA	14.91452884	1.104393039	144.4624168	17.00205579	717.2829536	112.5143733	119.410001	1422.573511	11.76960236
