sample_ID	year	genotype_treatment	genotype	pond	block	treatmentpond	Treatment	direct_herbivory	indirect_herbivory	mesh	timepoint	fitness	L-Alanine	L-Arginine	L-Asparagine	L-Aspartic Acid	L-Glutamic acid	L-Glutamine	L-Isoleucine_1	L-Leucine_2	L-Phenylalanine	L-Proline	L-Serine	L-Threonine	L-Tryptophane	L-Valine	Ornithine	Chlorogenic acid	putative Chlorogenic acid Isomer	Cyanidine_3_Glc	Luteoline 8-C-Glc	Apigenine 8-C-Glc	Luteoline 7-O-Glc	Apigenine 7-O-Glc	Glycine	L-Histidine	L-Methionine	L-Tyrosine	Kynurenine	Kynurenic acid	Serotonin_1	Tyramine	Tryptamine	Shikimic acid	Apigenine	Luteoline	Folic acid	Tetrahydrofolic acid	Lactic acid	Malate	Succinic acid	Dopamin	L-DOPA	GABA	Melatonine	Cyanidin_Mal_Glc
"4A, A1-"	2024	A-	A	4A	1	herbivory	indirect	0	1	1	w12	0.028961793	2.242897145	0.413590058	8.926453681	4.128178025	5.008566708	2.992206276	0.707853078	0.631388794	0.352727593	0.422901927	3.043166317	2.518766352	0.313178929	1.112292249	1.145994157	0.845534969	0.40162172	19.40527144	7.729651039	3.383908044	14.16454917	1.903548251	2.152518565	0.489785786	0.028176256	0.319523764	1.00E-02	1.13E-02	1.36E-02	1.78E-02	3.86E-03	1.713846295	2.25E-03	0.052257202	6.99E-04	1.48E-04	0.045560106	1.023573081	0.063340579	0.190384129	3.64E-03	0.09432377	NA	19.91181688
"4A, A1+"	2024	A+	A	4A	1	herbivory	direct	1	1	0	w12	0	5.411418789	1.071568477	7.597742917	2.545171762	3.337909604	2.842368288	0.959890366	1.206640009	0.695042508	1.101203258	10.79126691	4.372992548	0.435286374	1.843770355	3.085674107	0.377933246	0.160122358	NA	2.477610261	0.796316211	4.269673558	0.396603225	7.98615564	1.25576581	0.106435865	0.814448018	6.87E-02	4.94E-02	NA	0.134352806	9.11E-03	0.199416016	3.55E-03	0.025094848	NA	2.17E-03	0.158300749	0.389983869	0.071662778	0.133450184	4.21E-03	0.214290672	NA	6.828101151
"4A, B1-"	2024	B-	B	4A	1	herbivory	indirect	0	1	1	w12	0	18.43909595	4.126759819	11.20716497	14.41949548	13.30629639	6.68364671	3.308249652	4.204644623	2.719045548	5.261551552	42.05216481	17.00614309	1.258084184	5.97076883	17.264402	0.476774751	0.262603997	16.04721372	7.09718451	2.687586989	13.45013662	1.501502879	14.92228046	3.063682072	0.225314451	2.146667746	5.55E-02	3.29E-02	2.37E-02	2.21E-02	1.01E-02	0.703622721	6.36E-03	0.120150542	4.13E-04	NA	0.296078875	0.840491804	0.144277098	0.362266535	1.45E-02	0.179834892	NA	14.42844767
"4A, B1+"	2024	B+	B	4A	1	herbivory	direct	1	1	0	w12	0.047205566	3.298487569	4.078129612	205.3236512	14.45450042	12.01293598	21.29205772	1.251296372	0.979395513	0.697425354	0.501792461	5.769688555	3.706148683	0.984650785	2.252005987	7.042165897	1.158805851	0.974816234	34.03964937	15.45222738	6.572618312	24.96277594	3.784499506	1.965434351	0.512931261	0.064722007	0.354041668	1.12E-02	7.93E-03	0.126646106	0.274158014	5.70E-02	4.101661128	2.37E-03	0.040109076	1.39E-04	1.01E-02	0.018872753	1.91054595	0.124579125	1.967402938	1.47E-02	0.348592898	NA	27.44916142
"4A, C1-"	2024	C-	C	4A	1	herbivory	indirect	0	1	1	w12	-0.024033731	8.267488007	5.879338153	48.09300669	6.729870572	7.353989698	3.878351383	1.6021259	1.277154481	0.853166573	1.5947977	11.85045815	6.239234774	1.010280243	2.807604378	5.696603622	1.658800837	0.783995985	31.56808235	16.19985046	6.111687072	29.62874989	2.886158364	2.621806004	0.949795601	0.034672347	0.41996858	2.71E-02	1.87E-02	8.20E-02	0.340598371	3.93E-02	0.656908924	1.17E-02	0.342756979	NA	8.70E-03	0.031417768	1.152278505	0.085381455	6.19964376	1.15E-02	1.90311636	1.36E-03	24.41373431
"4A, C1+"	2024	C+	C	4A	1	herbivory	direct	1	1	0	w12	0.027060204	10.77213737	11.5283834	250.9044098	18.58519224	12.20860304	20.75238626	2.761945601	2.363581158	1.566995698	2.523006337	24.16327221	10.8019207	1.59718974	4.6984781	14.08734309	1.191937602	0.840876282	40.88418873	15.64596116	7.709300812	28.15631177	4.188297915	5.428410558	1.861815236	0.066663524	0.836268176	5.87E-02	2.10E-02	0.162516721	0.200257499	2.97E-02	1.475517607	1.52E-02	0.396510636	1.25E-04	5.53E-03	0.064712563	1.424598649	0.099165111	1.981552426	2.02E-02	0.82899979	NA	25.05012169
"4A, D1-"	2024	D-	D	4A	1	herbivory	indirect	0	1	1	w12	0	109.4853583	27.0873278	20.30343462	72.54825981	49.86861931	26.82405624	17.09487195	21.74605078	13.16865834	27.51527341	259.9312007	76.75729542	5.758443887	29.64947352	103.9006597	0.497486888	0.212734077	1.925244393	1.780132581	0.408098699	4.907181405	0.501675561	114.0376995	31.14626492	1.284388386	14.32917087	0.227906047	0.272479937	NA	9.78E-02	1.94E-02	0.703101435	1.17E-02	0.08355598	NA	7.76E-03	2.186789997	0.120979077	0.524763116	NA	5.42E-02	0.417987245	NA	0
"4A, D1+"	2024	D+	D	4A	1	herbivory	direct	1	1	0	w12	0	104.8386469	22.41120416	41.68033645	61.61907141	33.01793302	30.08796954	15.09179051	19.27502835	11.9667663	22.94766513	230.9378973	67.97388572	4.52381544	26.32001254	86.54930268	1.069489678	0.319676674	13.94173504	7.118910182	1.432022512	14.83027886	0.965440093	61.71168735	12.72611428	0.528890301	7.438994374	0.331234912	0.204415864	NA	8.53E-02	1.53E-02	0.481500311	1.82E-02	0.211514393	3.22E-03	4.80E-03	1.377281596	0.932845458	0.369414328	0.144546974	2.12E-02	0.404771142	8.86E-02	30.49379151
"4A, E1+"	2024	E+	E	4A	1	herbivory	direct	1	1	0	w12	0	14.06322815	15.04176537	27.36461952	8.578307339	9.092289565	10.37798999	1.999845106	2.535101596	1.566942456	3.501567563	30.35532585	9.957118512	0.725914123	3.910664951	13.45201566	0.298530176	0.101640732	3.047213308	2.893868288	0.762612218	5.433000167	0.416663313	13.07083017	3.404693334	0.132628361	1.23552612	3.19E-02	3.23E-02	0.513982367	0.556622119	3.97E-03	0.367119609	NA	0.021299149	1.83E-03	1.74E-03	0.252619703	0.370797276	0.161505618	7.88E-02	NA	0.126818755	4.07E-03	6.639990099
"4A, F1-"	2024	F-	F	4A	1	herbivory	indirect	0	1	1	w12	0	5.118029781	2.032354305	82.85351342	9.614687656	6.855042726	6.943700643	1.782298679	1.279275845	0.963299618	1.181160296	9.385300896	6.767832051	1.478840801	2.971008154	5.700023746	1.547090481	0.73195247	54.45787268	23.21279632	9.788588357	43.13844124	5.521762669	5.510695092	1.564017401	0.088251126	0.836447095	3.54E-02	1.55E-02	6.68E-02	0.131284039	1.35E-02	2.027658881	1.14E-02	0.255691304	NA	NA	0.118078705	2.110300462	0.123210046	1.093662293	7.72E-03	0.566704481	NA	31.52065953
"4A, F1+"	2024	F+	F	4A	1	herbivory	direct	1	1	0	w12	0	3.929254717	10.51004432	319.767152	18.63655691	11.10627266	24.21285599	1.727130154	1.190734648	0.855531257	0.715531761	6.168735309	5.413783238	1.761464652	3.285466852	10.84610308	2.065327151	1.068423025	69.20872722	24.40867123	10.15119214	44.16430262	6.212027494	5.171759226	2.915264384	0.122060839	1.096765776	1.27E-02	8.37E-03	0.184402405	0.459289	6.68E-02	2.640713847	8.41E-03	0.186312475	NA	1.75E-04	0.113181105	2.367958939	0.118155072	4.610860463	3.95E-02	0.430999032	3.48E-03	37.6975796
"4A, G1-"	2024	G-	G	4A	1	herbivory	indirect	0	1	1	w12	0.036487545	37.29794327	22.13197817	322.6161123	41.69592917	77.33344525	24.55956218	6.938258751	5.564789662	4.246509235	7.126858262	55.87943663	35.4758661	6.380946781	11.64184646	23.16740565	2.944410547	1.17559717	97.75994409	62.66153729	16.54934614	126.0290396	8.560391933	25.90919	7.442357377	0.491199584	3.216510024	0.454432685	0.30487576	0.263278818	0.39482984	0.119769122	5.045054696	1.99E-02	0.727683727	NA	NA	0.477429779	11.87852972	0.662366848	2.929779224	NA	1.415054151	2.26E-02	67.38995916
