sample_ID	timepoint	block	pond	treatment	population	L-Alanine	L-Asparagine	L-Aspartic Acid	L-Glutamic acid	L-Glutamine	L-Isoleucine1	L-Leucine2	L-Phenylalanine	L-Proline	L-Serine	L-Threonine	L-Tryptophane	L-Valine	Chlorogenic acid	Putative Chlorogenic acid Isomer	Cyanidine 3 Glc	Luteoline 8-C-Glc	Apigenine 8-C-Glc	Luteoline 7-O-Glc	Apigenine 7-O-Glc	Glycine	L-Histidine	L-Methionine	L-Tyrosine	Tyramine	Tryptamine	Shikimic acid	ABA	SA	IPR	tZ	tZR	cZ	cZR	IAA 	Coumaric acid	Caffeic acid	Sinapic acid	Cyanidin-3-O-6-O-malonyl-beta-Glc
1	w08	1	4A	herbivory	mix	2.888782929	85.26574509	11.01926904	16.59172574	5.498524177	1.519929762	NA	1.22128123	0.935006451	4.071455799	2.876975469	2.718141894	3.064553894	4.014142118	2.020677367	10.84155633	32.85609093	24.81467243	30.55328281	7.134001615	0.475197955	0.635449055	1.114198447	0.517760805	0.084536233	0.00339847	0.65881888	NA	1110.689521	23.03351378	76.3147135	101.9944743	75.08810739	NA	112.1651685	1463.109488	1859.823476	7420.951087	7.867212199
2	w08	1	4B	control	mix	1.531054543	2.447299898	5.94293636	13.70882002	1.555093019	0.907207741	0.515587492	0.463469585	0.580514058	1.68291946	1.572432735	2.005104466	1.684912262	4.933572386	1.93209707	18.0461173	40.71110273	24.72384843	41.62643365	6.717842825	0.408543498	0.264595141	1.210558087	0.30507469	0.003823522	0.003471313	2.348817342	NA	1168.094147	15.28264481	9.887999984	42.31776269	9.887999984	293.3044201	46.35122344	1624.082251	1112.056281	12106.87734	19.26863203
3	w08	1	4C	control	mix	0.679444224	NA	3.247458391	6.472077319	0.661278224	0.381908704	0.211339129	0.320058864	0.387058453	1.207340006	0.830956431	1.974331242	1.018235406	3.32468126	2.050631011	32.57165625	48.31294371	22.64637012	51.32599189	5.833399293	0.359776427	0.063656548	0.831987403	0.143277954	0.002161456	0.002137569	2.850579229	NA	1193.421818	14.20774877	NA	32.7740796	NA	277.5414931	28.22653355	2115.65951	1721.74051	14757.75924	25.29843678
4	w08	1	4D	herbivory	mix	1.630059966	3.001019273	5.88036886	11.7474038	1.61968177	0.588756868	0.392811415	0.54134205	0.554722717	2.23811735	1.593737725	1.98729103	1.346823782	6.641310729	3.51716438	45.67178644	59.09575844	36.84831481	57.50736406	7.148817263	0.895125626	0.290059185	1.30504708	0.283215354	0.003907883	0.003619529	3.170297682	NA	1691.627921	13.43741916	10.29843201	26.40815927	10.20855182	215.3335439	44.45730403	2701.962474	1554.491672	10884.67971	34.64861108
5	w08	2	5A	herbivory	mix	1.127650436	0.809154856	3.368248281	6.904565248	1.275902971	0.31371601	0.139567875	0.23632648	0.363310776	1.212260165	0.794236389	1.774928728	0.721035851	3.923496047	1.927969993	27.46854941	39.07659008	22.82030291	37.66110097	5.113363378	NA	0.066785539	0.756448711	0.102594109	0.002532046	0.00183249	2.860523124	NA	841.4465465	12.40500944	9.481588416	32.0816771	9.791733831	218.4076015	29.80565763	2762.024451	1438.948281	13388.42636	29.12496109
6	w08	2	5B	control	mix	1.627260663	2.848413222	4.360966963	10.11207525	1.708913181	0.405752014	0.235532318	0.430472666	0.51021517	1.383495415	1.096067976	1.935987677	1.030980803	2.971486985	2.060022542	22.08628062	42.49347942	18.9069485	46.50279367	5.891712269	0.534431974	0.18567716	0.963417481	0.482552065	0.012211642	0.002918159	1.958153986	9.054740707	1243.5304	21.70964226	37.64801286	144.5715959	41.14589919	777.4697065	50.14036104	3142.400498	2145.272827	16164.16011	25.20145255
7	w08	2	5C	control	mix	0.737762764	0.82170659	2.954653643	6.564639233	0.542092381	0.359312462	0.178041972	0.23780126	0.273200368	0.823121707	0.728228424	1.589053031	1.037644372	2.005844101	1.006295914	22.80384249	32.73747086	16.63568087	34.81799632	4.195192554	NA	0.092218035	0.672847346	0.12929408	0.00283325	0.001152315	2.200729585	24.71661964	847.0940497	14.68310792	5.269017949	30.173742	5.269017949	253.3979085	34.85951084	1763.51482	1268.961502	12375.92118	24.0069243
8	w08	2	5D	herbivory	mix	1.000239286	0.736586013	3.242687356	8.620447185	0.930087262	0.500004763	0.269105228	0.385539664	0.43390125	0.856469345	0.964194567	1.995916713	1.029514554	4.680264233	2.425364962	37.0326171	50.86526475	30.04964629	49.79561019	5.891022722	0.485516299	0.08923346	0.905990333	0.166421547	0.00246552	0.00226001	3.080012539	NA	1268.803288	13.6202351	11.54728542	30.08550578	11.63916145	304.7604404	39.28822526	2549.902627	1418.017313	14108.60817	37.03675591
9	w08	3	7A	control	mix	1.30913895	0.478539815	3.462274168	7.782764382	0.822824229	0.439443065	0.298291854	0.379620446	0.584059283	2.233500301	1.171603639	1.835886619	0.971142993	3.337303664	1.624784319	18.91319127	39.064601	17.13800276	39.30715225	4.133823055	1.760096899	0.287021715	0.720850384	0.289762613	0.004063101	0.002092252	2.089604312	13.56498594	1183.683097	15.16953203	NA	40.54680133	NA	425.190033	31.04518722	1757.070613	1404.888049	12003.02656	20.48320339
10	w08	3	7B	herbivory	mix	2.145585734	9.623478244	5.809310286	12.02466271	3.423756935	0.264519733	0.145610485	0.370325136	0.637257759	2.00387519	1.253532386	1.704497085	0.998395695	4.566886108	2.330885889	40.92633296	53.59581678	26.60854721	56.62792806	6.8120304	0.749032152	0.256401037	1.219396652	0.278138981	0.026125914	0.010343965	2.194465888	22.59751342	1432.380463	18.09314532	38.30474054	85.53543153	38.36485596	309.0108641	69.4612943	4560.142548	2810.637798	14768.89152	33.02547068
11	w08	3	7C	herbivory	mix	1.750577387	2.916360826	6.098345035	12.64314088	1.768459013	0.81335847	0.571201088	0.536476038	0.558455147	1.86546679	1.527148653	1.969326723	1.77075841	5.372254843	2.639696195	33.03976458	56.59864931	30.45331014	54.2367217	7.605884776	NA	0.264041839	1.076370928	0.263345114	0.012577961	0.003296782	3.159414988	9.801754549	1967.114353	22.97253969	8.687311369	27.93593347	8.687311369	255.192127	53.56299733	2819.613764	1556.399233	19502.54465	26.69702639
12	w08	3	7D	control	mix	1.890677281	0.617083985	3.777604182	6.441467006	1.113797281	0.417035878	0.222813907	0.413813408	0.419577047	1.847943433	1.349286686	2.403799829	1.103715885	3.241923364	1.605510396	41.11630446	51.29081043	25.27763783	54.76592851	5.698945825	1.091974468	0.279848331	0.967538205	0.18767246	0.003011255	0.003900988	3.150891015	113.8697692	2001.615113	18.06938571	NA	52.16355873	NA	388.0434834	35.05588708	3418.174448	1546.363802	14301.22116	34.01509839
13	w08	4	8B	control	mix	1.554352828	2.555002678	3.691559571	8.709204535	1.634124671	0.451137995	0.295969578	0.404617895	0.526480373	1.181689275	0.955362176	1.929772235	1.051908756	4.172776781	1.89694365	19.92963926	37.8440437	19.66040763	37.89617852	4.52257244	0.550920895	0.17018081	0.745280381	0.467424127	0.010447162	0.002241076	1.758198572	NA	1524.918816	22.57435314	47.81446534	121.9626644	47.09647989	644.8305846	39.97544978	2702.743577	2038.398163	14916.82993	21.78238896
14	w08	4	8D	herbivory	mix	2.070752105	7.45381036	6.684429113	14.87533016	2.548197037	0.933724255	0.865080636	0.601659342	0.630461375	3.221601155	1.904429524	1.761567449	1.904208741	5.504519579	2.401699098	21.18607572	38.19862257	23.27499274	36.501823	5.622697506	0.469042188	0.319188951	1.222981623	0.253194494	0.009087233	0.002685035	1.663528543	4.199610411	1656.23844	21.44945719	14.43812094	117.765461	14.27332175	683.8780996	45.23016205	2113.60902	1255.493392	13508.23781	21.22509221
15	w12	1	4A	herbivory	mix	2.357123851	27.61293184	8.253165745	12.09963882	3.204039121	0.764568248	0.522509316	0.466495863	0.649499297	2.421184972	1.383792376	2.121035442	1.710330806	3.286961561	2.74390607	17.6244026	35.67730352	22.56877622	39.34817251	7.486919523	0.270615618	0.30187089	0.810154294	0.226088684	0.126997015	0.007720306	1.909922056	16.3844611	1150.382177	10.99696346	4.152435529	19.15813741	4.152435529	225.0774738	62.84168956	3353.266223	NA	6631.030805	17.30386795
16	w12	1	4B	control	mix	0.794032327	0.440260798	2.573164548	6.429567917	0.926271534	0.273762826	0.152928773	0.216297994	0.359685892	0.908855842	0.886421897	1.664876759	0.728931575	1.938666558	1.134971386	26.1787264	33.47577209	13.79407751	36.03382464	3.377607131	0.422457778	0.138264366	0.906738288	0.093614037	0.002221848	0.001619018	1.497553274	63.9850246	748.2934177	9.000211318	3.834904394	8.450462366	4.101846154	130.5607382	27.71327988	1862.102458	1354.756085	7448.097657	20.41677641
17	w12	1	4C	control	mix	0.912295347	0.300404385	1.885918358	4.519399069	0.609138981	0.237197986	0.134977325	0.211869238	0.226328725	1.228976827	0.732461081	1.735577493	0.684037975	1.516033256	0.70211317	16.23242955	21.39981552	8.518014507	26.73484937	2.391084073	1.05515637	0.335530194	1.04711022	0.137225694	0.002226695	0.001562608	1.099027914	83.47919957	806.8127447	3.617028547	NA	3.948384293	NA	45.69582189	36.39447048	NA	998.5131406	4966.297185	10.78902859
18	w12	1	4D	herbivory	mix	1.266327464	1.066918246	4.069223229	9.350782727	1.51367309	0.424019356	0.261817226	0.320133363	0.39787884	1.941431743	0.924462101	1.57902715	1.005877314	2.97896189	2.513677614	41.22735993	46.15563906	21.67625292	48.51999695	4.995657236	0.633151068	0.192145723	1.015402121	0.161080674	0.007516576	0.002048868	1.523751515	NA	854.839442	8.05341311	2.680567725	15.2353916	3.638996375	190.1303784	31.85816143	2378.539833	1426.514564	5608.923195	25.73821212
19	w12	2	5A	herbivory	mix	0.879740273	0.418005227	2.204996545	5.412844174	0.846633231	0.299074762	0.150294761	0.345620064	0.331330615	0.952681186	0.885716885	1.877893084	0.848758532	2.44999942	1.34090153	36.59367246	34.30058955	17.50678694	39.06823535	3.788424191	0.365505233	0.19154676	1.478784569	0.168431113	0.00628541	0.001463584	1.325883802	NA	855.9919969	4.722410082	NA	13.90922622	NA	199.5823673	60.79129204	1534.764856	1585.074139	6556.742641	23.99067261
20	w12	2	5B	control	mix	1.56093059	0.88164341	3.763597337	7.661625476	1.597605459	0.323038222	0.166334664	0.291906649	0.329537657	1.706736118	0.905716786	1.681146239	0.924367887	2.856895514	2.145490733	26.60543433	33.70381902	13.28887359	39.44259031	3.679593155	0.790087755	0.238648653	0.725744944	0.190057906	0.00638672	0.003542661	1.898930803	43.9485386	913.708654	8.131607331	5.639566619	27.50652419	5.639566619	240.2228017	34.4971361	1875.26166	1621.25469	9902.051875	26.53261977
21	w12	2	5C	control	mix	1.060644529	1.064727437	3.14766426	7.33600198	1.319851195	0.290319929	0.141759097	0.289534014	0.364935417	1.585516636	0.882791313	1.829178175	0.785621948	2.367726849	1.191541478	31.37331274	37.6305518	17.547274	41.55639505	3.990911088	0.404818268	0.228264047	1.170966997	0.123886989	0.004252341	0.001957051	2.081508532	53.66230593	777.3441026	8.78646058	13.95896003	6.573964694	13.95896003	83.50697513	62.54495859	1679.628011	1488.275803	10963.016	22.35041835
22	w12	2	5D	herbivory	mix	0.833911066	1.320971674	2.587092341	6.386748034	0.907136126	0.274910748	0.145265003	0.232026528	0.305579327	1.237069886	0.857298259	1.816369425	0.890160099	3.297358454	1.851416654	51.85268014	43.47244175	22.31427864	48.71178235	4.357378779	0.29166907	0.159440865	0.955266424	0.129928562	0.008273238	0.001691645	1.430870059	17.14773581	793.7104192	4.455308755	4.463321265	8.91295431	4.412257843	141.7454381	57.81570992	2617.980912	1826.608452	5444.608018	30.6502757
