sample_ID	timepoint	block	pond	treatment	population	L-Alanine	L-Arginine	L-Asparagine	L-Aspartic Acid	L-Glutamic acid	L-Glutamine	L-Isoleucine_1	L-Leucine_2	L-Phenylalanine	L-Proline	L-Serine	L-Threonine	L-Tryptophane	L-Valine	Ornithine	Chlorogenic_acid	putative Chlorogenic acid Isomer	Cyanidine 3 Glc	Luteoline 8-C-Glc	Apigenine 8-C-Glc	Luteoline 7-O-Glc	Apigenine 7-O-Glc	Glycine	L-Histidine	L-Methionine	L-Tyrosine	Tyramine	Tryptamine	Shikimic acid	Apigenine	Luteoline	Cyanidin-Mal-Glc
1	w08	1	4A	herbivory	mix	2.213621099	0.660041944	0.934693032	2.383351586	3.572096717	0.646047592	0.546360377	1.285760462	0.680923102	0.876617256	1.528196773	1.41523345	0.222276741	1.139014897	0.234466139	0.786150774	0.352980481	8.493790376	20.43332532	10.16816173	26.0203454	3.427736416	1.00502874	0.190549995	0.04853874	0.506659118	0.00251682	0.001880288	1.298731425	0.921799856	12.83596674	3.660563272
2	w08	1	4B	control	mix	6.329104785	1.365139448	0.382890164	2.743718643	5.621825108	1.710785636	1.066458986	2.230603964	1.145857039	3.060753797	1.958000765	2.63400383	0.358736525	2.072608113	0.338184852	0.551053838	0.201058579	4.250195926	13.2446821	5.557385638	12.23951654	0.930559286	1.925482964	0.349185613	0.213695919	0.792855331	0.00225949	0.002465181	0.826268967	0.516202488	13.52520735	1.583503745
3	w08	1	4C	control	mix	2.252121862	1.88457262	4.259311194	3.834135691	4.559221988	0.853489877	0.691656975	0.950291644	0.638748289	0.713832335	2.286700622	1.894862503	0.402610222	1.396208321	0.910574683	1.402137768	0.599120547	26.36522028	20.86065873	8.040035139	33.92765952	4.109080664	0.93111183	0.230448069	0.033526325	0.168309219	0.002947979	0.00504975	1.913472775	0.127216743	2.336346969	11.27414003
4	w08	1	4D	herbivory	mix	2.949220815	1.418089972	2.316056683	3.002598853	3.993151937	0.78744637	0.691058927	1.273140127	0.59954892	0.960603152	2.037751283	1.827269299	0.272622141	1.302715373	0.656378811	0.370950167	0.154441018	5.18734804	13.25712828	7.731547897	15.57329702	1.549350465	0.832362501	0.175842795	0.026011216	0.188941422	0.001165674	0.002158771	1.367794811	0.637183555	9.797237513	1.909357937
5	w08	2	5A	herbivory	mix	2.486549379	1.698408843	1.333174908	2.542169222	3.390805953	1.49151834	0.605412966	1.534556372	0.729226774	0.978789651	1.842760852	1.653044796	0.261312185	1.26591477	0.568330885	0.848316432	0.521843341	10.23059819	18.31313395	10.60925515	19.40374377	2.134325087	0.969129117	0.235314397	0.092409225	0.425392239	0.015824718	0.004810063	2.249377398	0.625114422	9.315850025	7.680473287
6	w08	2	5B	control	mix	1.09239118	4.224968965	14.52814327	7.645938134	7.929780187	2.153617575	1.384670861	0.980735551	0.683287039	0.257090325	3.308827101	2.64187103	0.717500914	1.950132014	1.650080721	1.432826174	0.837976126	29.24367197	14.75659715	4.713707878	24.7865903	2.370284484	0.291482283	0.463942749	0.034620761	0.320787422	0.068034619	0.003066176	0.980386837	0.003906515	0.15693859	14.17268265
7	w08	2	5C	control	mix	1.287338184	0.498758944	0.387501243	0.954834536	1.311205035	0.179125263	0.27475016	0.459476002	0.269726338	0.390520447	0.759688758	0.629310673	0.086447777	0.51595231	0.229521115	0.182071561	0.064985509	0.981678672	9.380688984	5.623477044	7.646176154	0.755668209	0.557329825	0.12547405	0.037701601	0.135801145	0.002770261	0.002497148	0.359905381	0.661938758	10.84910178	0.747931696
8	w08	2	5D	herbivory	mix	4.67986443	1.146244276	4.815525143	4.242882874	3.450089194	0.930071729	1.32267577	2.037200248	0.911736832	1.851739263	1.231834296	1.507314882	0.301944202	2.438203441	0.80293016	0.054018145	0.023510211	0.528577925	6.09627183	5.60089299	6.577391383	0.95737249	1.508098216	0.306178908	0.109343644	0.215505791	0.004091289	0.004909089	0.949636302	0.700101866	6.027271013	0.474059101
9	w08	3	7A	control	mix	2.152867444	0.949477355	1.033383625	1.853313972	2.656305735	0.599516566	0.450771893	0.98730759	0.498086609	0.709215208	1.744350664	1.312829977	0.15294993	0.966200813	0.41907822	0.271007112	0.121393573	2.051270096	8.119829442	4.031112807	9.990315877	0.894185838	1.656958364	0.33495364	0.075006826	0.32253641	0.00110381	0.002244578	0.657353406	0.366379863	5.670450497	1.515540258
10	w08	3	7B	herbivory	mix	0.67320029	1.095366503	9.355352042	3.085626009	3.232821726	1.091920984	0.401913195	0.290857832	0.314405436	0.189051662	1.652311386	0.9931246	0.311142723	0.757122483	0.770010622	2.018454771	0.912720298	40.1155041	20.27986319	8.38683699	29.54948692	3.43596459	0.346972917	0.154650915	0.026016371	0.157474527	0.024855674	0.003405992	1.687580785	0.004228637	0.161133353	21.5733189
11	w08	3	7C	herbivory	mix	2.992266385	3.715512539	3.390575295	3.481897241	3.977846952	1.478181282	0.803657099	1.596550326	0.753218569	1.070840859	2.168304631	1.804467352	0.319895391	1.521167269	1.380507461	0.590225254	0.335300593	5.428614655	13.48799944	5.015110681	19.98914686	2.218363165	1.075138882	0.274800862	0.105840087	0.350584689	0.001653713	0.001591843	1.358138746	0.30495042	4.190055784	4.642129868
12	w08	3	7D	control	mix	0.81004814	1.778402035	11.88615996	5.009659946	5.562692668	1.151026847	1.030087049	0.38497237	0.410724363	0.176420782	1.086921112	1.665692771	0.732073532	1.564009263	0.562047784	1.559077711	0.773368144	35.04946911	17.84956484	5.433005589	27.75287466	2.748379209	0.378575922	0.340923624	0.018537166	0.1732105	0.087238116	0.014726443	1.465846955	0.008695036	0.199332133	18.76066602
13	w08	4	8B	control	mix	0.700129666	2.133219612	13.55203179	3.508771221	4.154628414	0.946522456	0.665504347	0.308737622	0.38101225	0.119231025	0.926813709	1.524402454	0.584476812	0.972017141	0.789733067	2.425854162	0.932334969	48.09256272	20.88021079	9.591796192	30.40296086	3.563575176	0.356530573	0.280220147	0.032489363	0.118357057	0.030752847	0.003236607	1.031810202	0.002446449	0.071429913	17.15741616
14	w08	4	8D	herbivory	mix	3.506145342	3.428922433	6.700357081	4.346479556	3.612857646	2.108473601	0.89093752	2.053329669	0.955516559	1.289884883	2.715902685	2.115161522	0.245889432	1.80281782	1.552589168	0.280429579	0.120744319	3.141342583	10.99801401	7.850954128	11.34929288	1.2086158	1.469064714	0.366592472	0.174300882	0.546253402	0.003787395	0.00404552	1.12568955	0.406981173	5.978961661	2.22144301
15	w11	1	4A	herbivory	mix	1.425076587	1.072255738	8.474036227	5.27871927	8.009248594	2.169381767	0.653163955	0.315925496	0.406997361	0.204108444	1.705211209	1.461646753	0.602319654	1.410791408	0.532666569	2.597577762	1.24391669	62.81992011	30.11235098	9.963839956	49.00614716	6.018929415	0.494456432	0.284979987	0.03298359	0.24668375	0.123874749	0.019946955	2.233525825	0.007875882	0.223737514	29.50207217
16	w11	1	4B	control	mix	1.598381334	0.473233513	1.763691929	3.687483405	5.671388401	0.905216151	0.339563283	0.31701414	0.326554873	0.281224081	2.592350249	1.267631312	0.29961391	0.777590656	0.741423811	2.32901077	0.873264471	53.69696848	25.41405306	8.66592177	40.86988881	4.173414626	1.199674594	0.317951103	0.040657214	0.265433935	0.026433881	0.002878967	2.427123227	0.002055883	0.084902855	20.37748394
17	w11	1	4C	control	mix	0.626384605	2.780353844	5.123350353	2.954689705	4.912655809	0.708748294	0.377607974	0.202219602	0.341773074	0.152041897	1.258623595	1.016284648	0.349442218	0.734154474	0.78979506	2.32296607	0.771581713	44.23963864	19.12707433	7.186005987	30.64568623	3.082098103	0.25393095	0.247058654	0.016296083	0.135801595	0.028251086	0.003032142	1.225031292	0.001284554	0.046094518	20.80737137
18	w11	1	4D	herbivory	mix	0.897462538	2.975960075	10.56345323	5.031530357	5.910757907	1.445338005	0.523276813	0.242587256	0.30026807	0.162127025	1.291386233	1.394500768	0.467115289	0.871152165	1.285785493	2.481173233	0.963853096	63.74133453	25.72461386	7.756009505	40.46275157	3.765123967	0.281101324	0.270308606	0.018815	0.115065028	0.037848899	0.003605281	1.735202667	0.001600179	0.072169873	22.2333625
19	w11	2	5A	herbivory	mix	0.602562066	0.268699759	0.534027834	2.808221018	3.577825693	0.618004563	0.17095441	0.119201029	0.212407306	0.126361708	0.922587371	0.654075046	0.171144247	0.418455146	0.13782627	1.684687113	0.73557333	51.40710586	20.31297538	8.79443298	28.27125327	3.088704341	0.26988996	0.135440093	0.014238129	0.081716702	0.007651138	0.001607509	3.322642989	0.001977433	0.060391432	30.55220735
20	w11	2	5B	control	mix	0.827432325	5.345414533	18.95055612	4.656213166	5.292012385	1.534674961	1.270017818	0.637268603	1.062601794	0.147517694	1.477679484	1.538983007	0.656837845	1.709781453	1.680407418	1.816031556	0.679203142	36.32474339	16.63372305	5.683164469	27.23392116	2.639118605	0.262607634	0.590743102	0.016468231	0.206791423	0.039247096	0.003102474	0.951831066	0.001523922	0.041797059	20.24525463
21	w11	2	5C	control	mix	0.886526167	1.33098074	1.857169625	3.671142527	5.571001766	1.502739906	0.249531526	0.178551584	0.24252695	0.209616851	1.04025097	1.713996857	0.275280284	0.695322247	0.406507864	1.835635054	0.693625596	55.20949415	22.86837444	8.335308016	36.82578519	3.888096836	0.576388898	0.177691956	0.027984749	0.162398889	0.020674183	0.002655821	1.857735361	0.001520306	0.053052179	25.44855463
22	w11	2	5D	herbivory	mix	0.149509596	0.023429838	0.097450937	0.119384105	0.063173698	0.015482182	0.02503925	0.030505331	0.018282976	0.038677321	0.385559543	0.123312004	0.01466089	0.049293878	0.093756178	0.027240413	0.005394789	0.507402434	0.218238702	0.048443351	0.607314313	0.033071799	0.098127724	0.012204924	0.0010728	0.009386125	0.000146691	NA	NA	0.000394851	0.01357275	NA
