Image	pond	block	treatment	timepoint	year	area_fr	biomass_fr
ref1	0	0	starting	0	2023	12.29133958	0.263583333
ref2	0	0	starting	0	2023	12.35083292	0.252083333
ref3	0	0	starting	0	2023	12.23104167	0.251916667
4A.jpg	4A	1	herbivory	7	2023	10.49957438	0.072413645
4B.jpg	4B	1	control	7	2023	23.09664552	0.168367874
4C.jpg	4C	1	control	7	2023	26.30778217	0.137308471
4D.jpg	4D	1	herbivory	7	2023	24.98440527	0.109565845
5A.jpg	5A	2	herbivory	7	2023	23.33522308	0.142144638
5B.jpg	5B	2	control	7	2023	12.44525337	0.056226442
5C.jpg	5C	2	control	7	2023	27.13831596	0.153443098
5D.jpg	5D	2	herbivory	7	2023	25.56241661	0.094637416
7A.jpg	7A	3	control	7	2023	19.91275573	0.087363973
7B.jpg	7B	3	herbivory	7	2023	10.63368606	0.051121109
7C.jpg	7C	3	herbivory	7	2023	19.97086151	0.132611817
7D.jpg	7D	3	control	7	2023	22.77290476	0.161027831
8B.jpg	8B	4	control	7	2023	13.44408739	0.067813161
8D.jpg	8D	4	herbivory	7	2023	23.97651251	0.117874574
4A.jpg	4A	1	herbivory	11	2023	8.425737561	0.051520757
4B.jpg	4B	1	control	11	2023	36.316308	0.140794316
4C.jpg	4C	1	control	11	2023	18.9666009	0.086596131
4D.jpg	4D	1	herbivory	11	2023	14.28314985	0.012989936
5A.jpg	5A	2	herbivory	11	2023	15.92932254	0.051516678
5B.jpg	5B	2	control	11	2023	14.11711409	0.046692292
5C.jpg	5C	2	control	11	2023	17.21535012	0.083343148
5D.jpg	5D	2	herbivory	11	2023	15.47478921	0.039793566
7A.jpg	7A	3	control	11	2023	16.05921054	0.072350223
7B.jpg	7B	3	herbivory	11	2023	11.92160177	0.057864646
7C.jpg	7C	3	herbivory	11	2023	14.25897811	0.029808789
7D.jpg	7D	3	control	11	2023	13.15817626	0.050457338
8B.jpg	8B	4	control	11	2023	17.04887425	0.062088391
8D.jpg	8D	4	herbivory	11	2023	18.43376698	0.097721714
4A.jpg	4A	1	herbivory	13	2023	5.406502311	0.029782054
4B.jpg	4B	1	control	13	2023	18.12534083	0.131644909
4C.jpg	4C	1	control	13	2023	16.81338669	0.111452936
4D.jpg	4D	1	herbivory	13	2023	10.73403022	0.034383631
5A.jpg	5A	2	herbivory	13	2023	10.98506516	0.046415819
5B.jpg	5B	2	control	13	2023	10.01498787	0.055864638
5C.jpg	5C	2	control	13	2023	13.82063711	0.082860693
5D.jpg	5D	2	herbivory	13	2023	11.57725281	0.016660732
7A.jpg	7A	3	control	13	2023	13.49576333	0.083948668
7B.jpg	7B	3	herbivory	13	2023	15.45412518	0.060823757
7C.jpg	7C	3	herbivory	13	2023	12.92046659	0.004364497
7D.jpg	7D	3	control	13	2023	15.01006493	0.082247471
8B.jpg	8B	4	control	13	2023	14.37399683	0.068401846
8D.jpg	8D	4	herbivory	13	2023	16.69154334	0.094935027
4A.jpg	4A	1	herbivory	59	2024	14.51783599	0.587284483
4B.jpg	4B	1	control	59	2024	13.15288797	0.561410788
4C.jpg	4C	1	control	59	2024	15.10846322	0.558966565
4D.jpg	4D	1	herbivory	59	2024	12.65877348	0.597375691
5A.jpg	5A	2	herbivory	59	2024	10.84080519	0.358592849
5B.jpg	5B	2	control	59	2024	5.266980054	0.208726287
5C.jpg	5C	2	control	59	2024	10.94227744	0.416943867
7B.jpg	7B	3	herbivory	59	2024	11.13757789	0.457087126
7C.jpg	7C	3	herbivory	59	2024	10.71260987	0.368845619
7D.jpg	7D	3	control	59	2024	15.83785423	0.618014706
8B.jpg	8B	4	control	59	2024	9.404494492	0.428110161
8D.jpg	8D	4	herbivory	59	2024	8.071578016	0.324013529
4A.jpg	4A	1	herbivory	61	2024	10.74899817	0.332
4B.jpg	4B	1	control	61	2024	12.49666433	0.4645
4C.jpg	4C	1	control	61	2024	9.8944875	0.311833333
4D.jpg	4D	1	herbivory	61	2024	10.3995955	0.429666667
5A.jpg	5A	2	herbivory	61	2024	14.85288833	0.623833333
5B.jpg	5B	2	control	61	2024	6.555065333	0.202
5C.jpg	5C	2	control	61	2024	11.42708583	0.494
7B.jpg	7B	3	herbivory	61	2024	11.4282415	0.3915
7C.jpg	7C	3	herbivory	61	2024	10.05556417	0.3365
7D.jpg	7D	3	control	61	2024	11.60086367	0.554333333
8B.jpg	8B	4	control	61	2024	7.593915667	0.328833333
8D.jpg	8D	4	herbivory	61	2024	11.68467117	0.492833333
4A.jpg	4A	1	herbivory	63	2024	11.84361033	0.434166667
4B.jpg	4B	1	control	63	2024	8.692048333	0.370333333
4C.jpg	4C	1	control	63	2024	9.949834833	0.359333333
4D.jpg	4D	1	herbivory	63	2024	11.03159633	0.396166667
5A.jpg	5A	2	herbivory	63	2024	15.91597783	0.685833333
5B.jpg	5B	2	control	63	2024	4.7819265	0.117166667
5C.jpg	5C	2	control	63	2024	9.375100833	0.396666667
7B.jpg	7B	3	herbivory	63	2024	9.5594395	0.3315
7C.jpg	7C	3	herbivory	63	2024	8.898354167	0.3095
7D.jpg	7D	3	control	63	2024	8.236842667	0.323333333
8B.jpg	8B	4	control	63	2024	7.4706205	0.370166667
