year	calendar_week	timepoint	pond	block	treatment	TP	PO4	NH4	TOC	pH	Temp	O2pourcentage	Cond	light_weekly_mean
2023	KW21	0	4A	1	Herbivory	459	219	29.5	3.9	8.67	16.4	155.2	350	2816.369539
2023	KW21	0	4B	1	Control	399	331	12.2	3.5	8.6	17.1	140.5	375	3647.581711
2023	KW21	0	4C	1	Control	462	397	15.4	3.4	8.43	17	135.6	378	3890.998229
2023	KW21	0	4D	1	Herbivory	408	339	14.8	3.1	8.28	17.3	128	392	3770.716101
2023	KW21	0	5A	2	Herbivory	425	294	7.2	3.6	8.8	17.2	155	382	3713.088765
2023	KW21	0	5B	2	Control	440	338	5	3.5	8.55	17.5	127.1	393	3780.229836
2023	KW21	0	5C	2	Control	519	516	16.8	3.4	8.88	17.4	171.2	390	5390.315417
2023	KW21	0	5D	2	Herbivory	500	151	5	4	9.06	17.3	197.2	367	4141.169955
2023	KW21	0	7A	3	Control	379	330	5	3.5	8.53	16.4	136.4	373	2787.195804
2023	KW21	0	7B	3	Herbivory	514	399	5.4	3.4	8.36	17	131	385	3630.537411
2023	KW21	0	7C	3	Herbivory	346	241	5	3.4	8.82	16.5	165.8	369	3077.212708
2023	KW21	0	7D	3	Control	469	445	5	3.4	8.42	16.9	119.4	373	3343.046979
2023	KW21	0	8B	4	Control	510	278	6.9	3.7	8.97	17.3	190	374	4541.242351
2023	KW21	0	8D	4	Herbivory	472	337	5	3.6	8.87	17.1	174	378	3997.335402
2023	KW26	5	4A	1	Herbivory	297	248	46.8	5.9	8.08	24.6	80.2	352	5394.720685
2023	KW26	5	4B	1	Control	642	572	37	6.5	8.04	24.9	72.1	387	5527.196592
2023	KW26	5	4C	1	Control	319	258	29.7	5.7	7.87	24.6	66.6	376	5302.102307
2023	KW26	5	4D	1	Herbivory	449	384	22.3	5.3	7.89	24.9	66.2	390	5118.027024
2023	KW26	5	5A	2	Herbivory	399	359	28.2	5.3	7.92	25.4	65.3	400	5477.555774
2023	KW26	5	5B	2	Control	426	368	20.3	5.6	7.92	25.2	65.8	396	5164.446399
2023	KW26	5	5C	2	Control	520	465	18.6	5.6	8.05	25.2	72.8	419	4168.446071
2023	KW26	5	5D	2	Herbivory	516	413	14.6	5.6	7.83	25.3	62.5	390	7097.37506
2023	KW26	5	7A	3	Control	471	431	17.4	5.3	7.85	24.5	67.1	382	3812.022664
2023	KW26	5	7B	3	Herbivory	599	538	6.4	6.4	7.94	24.9	68.3	396	6345.425313
2023	KW26	5	7C	3	Herbivory	416	374	32.5	5.8	7.89	24.5	65.8	386	5862.47003
2023	KW26	5	7D	3	Control	570	530	14.7	5.4	7.86	24.6	70.6	388	4829.811295
2023	KW26	5	8B	4	Control	271	304	8.4	5.5	7.91	25.2	64.9	399	5368.967009
2023	KW26	5	8D	4	Herbivory	364	314	5	7.8	8.15	25.2	87.7	394	6401.337292
2023	KW28	7	4A	1	Herbivory	294	219	35.2	7	8.44	25.3	99	343	4689.55125
2023	KW28	7	4B	1	Control	535	514	28.3	7.9	8.11	24.3	72.5	387	1893.453214
2023	KW28	7	4C	1	Control	234	191	13.3	6.3	8.18	24.7	75.5	364	2765.529315
2023	KW28	7	4D	1	Herbivory	369	338	12	5.5	8.08	25.5	75.3	381	3466.075015
2023	KW28	7	5A	2	Herbivory	307	274	5	5.5	8.07	25.9	80.5	392	2915.280893
2023	KW28	7	5B	2	Control	297	257	20.5	6.3	8.03	26.1	79.5	380	3663.856756
2023	KW28	7	5C	2	Control	386	356	20.2	6.4	8.22	25	82.5	410	2214.163661
2023	KW28	7	5D	2	Herbivory	451	421	10.1	6.1	7.91	25.6	65.6	393	4689.594598
2023	KW28	7	7A	3	Control	363	339	7.4	5.6	8.14	25	81.9	378	2957.743021
2023	KW28	7	7B	3	Herbivory	569	556	29.4	5.9	7.89	26	58.7	404	4496.031027
2023	KW28	7	7C	3	Herbivory	462	400	12.3	5.8	7.99	25.3	81.5	388	3966.633958
2023	KW28	7	7D	3	Control	464	429	13	6.4	8.28	24.8	98.4	386	2895.855104
2023	KW28	7	8B	4	Control	333	309	21.2	6.6	8.04	26.1	75.1	403	3250.698497
2023	KW28	7	8D	4	Herbivory	345	319	12.8	6.1	8.2	26	91.3	389	4928.774673
2023	KW32	11	4A	1	Herbivory	139	106	77.3	5.8	8.09	18.7	86.7	279	3215.500164
2023	KW32	11	4B	1	Control	308	260	17.1	6.5	7.69	18.1	77.1	324	626.2429403
2023	KW32	11	4C	1	Control	59.3	20.3	7	5.6	7.97	18.4	80.5	267	1239.325
2023	KW32	11	4D	1	Herbivory	180	140	20.2	5.6	7.71	17.9	80.1	302	828.8437164
2023	KW32	11	5A	2	Herbivory	193	152	20	5.3	7.78	18.8	72.2	316	2419.762373
2023	KW32	11	5B	2	Control	104	66.5	14.9	5.3	7.75	18.4	88.9	296	956.7188657
2023	KW32	11	5C	2	Control	117	83.5	13.9	5.8	8.06	18.5	86.8	323	1639.485896
2023	KW32	11	5D	2	Herbivory	339	299	8.6	5.4	7.73	18.7	71.5	326	3822.036134
2023	KW32	11	7A	3	Control	185	157	6.6	5.9	7.9	18	79.3	310	794.3969851
2023	KW32	11	7B	3	Herbivory	412	385	6.2	5.3	7.86	18.7	71.5	337	4249.982269
2023	KW32	11	7C	3	Herbivory	327	291	15.1	5.9	7.72	18.2	77	320	2247.586015
2023	KW32	11	7D	3	Control	378	346	5.3	5.3	7.69	18.1	83.4	325	1635.934522
2023	KW32	11	8B	4	Control	219	192	5	5.2	7.98	18.6	85.7	334	1914.04409
2023	KW32	11	8D	4	Herbivory	171	113	10.5	6	7.73	18.3	82.3	314	1308.378015
2023	KW34	13	4A	1	Herbivory	267	70.5	94.6	6.9	8.46	24.8	98.1	274	2479.20686
2023	KW34	13	4B	1	Control	212	169	38.3	7.9	7.74	21.7	49.1	319	499.1362946
2023	KW34	13	4C	1	Control	58.7	22.1	28.4	7.8	8.43	22.7	66	239	663.0437798
2023	KW34	13	4D	1	Herbivory	152	113	56.1	7.1	7.75	21.7	51.8	299	911.7684375
2023	KW34	13	5A	2	Herbivory	192	154	40.3	6.8	7.72	24.4	68.8	309	2943.20494
2023	KW34	13	5B	2	Control	72.8	47.1	42.9	6.5	7.92	22.5	69.6	281	869.8610119
2023	KW34	13	5C	2	Control	57.2	28.5	23.6	6.8	8.2	22.9	72	303	884.3947321
2023	KW34	13	5D	2	Herbivory	321	291	5.5	7.3	7.85	24.8	63.6	326	2553.352976
2023	KW34	13	7A	3	Control	202	163	29.1	8.2	8.13	22.3	37.8	306	710.9984226
2023	KW34	13	7B	3	Herbivory	365	318	5.9	6.2	8.13	24.9	77.9	334	3337.426295
2023	KW34	13	7C	3	Herbivory	291	253	30.6	6.5	8.08	23.1	60.3	317	1529.871548
2023	KW34	13	7D	3	Control	327	316	5.3	7.1	8.06	22.6	81.1	325	1348.561012
2023	KW34	13	8B	4	Control	148	115	22	6.7	8.27	23.4	68.3	318	1205.806905
2023	KW34	13	8D	4	Herbivory	126	86.9	18.1	7.1	7.81	22.2	62	301	1162.034345
2024	KW20	51	4A	1	Herbivory	26	1.0	41.8	7.8	9.48	16.1	152.4	29.2	738.4339192
2024	KW20	51	4B	1	Control	17	1.9	33.4	6.3	10.04	14.6	180.4	116.6	619.9499798
2024	KW20	51	4C	1	Control	39	1.0	25.2	7.8	9.28	16.2	109.2	130.4	1127.276869
2024	KW20	51	4D	1	Herbivory	18	1.0	7.1	6.2	10.05	13.3	188.7	111.6	650.5572525
2024	KW20	51	5A	2	Herbivory	81	25.3	21.0	5.0	7.72	18.6	95.6	188.9	3952.466242
2024	KW20	51	5B	2	Control	29	1.0	47.4	6.3	8.76	18.3	113	159.3	3421.27372
2024	KW20	51	5C	2	Control	11	1.0	47.4	6.8	10.11	14.7	178.1	121.6	726.2912727
2024	KW20	51	7B	3	Herbivory	37	3.3	11.6	6.5	9.08	17.1	128.6	142.8	1062.704114
2024	KW20	51	7C	3	Herbivory	23	1.8	5.8	7.5	9.8	14.6	141.5	125.4	2185.034684
2024	KW20	51	7D	3	Control	31	1.0	7.8	7.0	8.18	17.9	98.1	154.5	7189.508462
2024	KW20	51	8B	4	Control	23	1.0	15.3	5.8	8.84	17.7	130.3	156.7	2305.459337
2024	KW20	51	8D	4	Herbivory	28	1.0	13.8	7.2	9.6	16.7	182.8	126.3	928.7323645
2024	KW23	54	4A	1	Herbivory	17.0	1.0	11.0	6.7	9.12	16.7	103.6	117.3	680.78375
2024	KW23	54	4B	1	Control	24.3	1.0	6.7	5.6	9.19	16.4	90.8	114.2	NA
2024	KW23	54	4C	1	Control	35.8	1.0	8.4	5.3	7.58	16.7	61.6	150.2	NA
