name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Vigna radiata	157791	S	10657	2784	13441	0.00743
Vigna unguiculata	3917	S	9225	5608	14833	0.00820
Vigna angularis	3914	S	7684	2801	10485	0.00579
Glycine soja	3848	S	3150	9066	12216	0.00675
Glycine max	3847	S	2562	8859	11421	0.00631
Cajanus cajan	3821	S	11840	2675	14515	0.00802
Phaseolus vulgaris	3885	S	8925	2002	10927	0.00604
Pisum sativum	3888	S	18774	3852	22626	0.01250
Vicia villosa	3911	S	15820	2961	18781	0.01038
Medicago truncatula	3880	S	5606	1020	6626	0.00366
Trifolium pratense	57577	S	5478	5910	11388	0.00629
Cicer arietinum	3827	S	9407	4714	14121	0.00780
Lotus japonicus	34305	S	6080	1272	7352	0.00406
Arachis hypogaea	3818	S	8330	17914	26244	0.01450
Arachis stenosperma	217475	S	7795	3574	11369	0.00628
Arachis duranensis	130453	S	3479	4293	7772	0.00429
Arachis ipaensis	130454	S	797	7096	7893	0.00436
Lupinus angustifolius	3871	S	8606	3048	11654	0.00644
Malus domestica	3750	S	2188	2352	4540	0.00251
Malus sylvestris	3752	S	2184	3084	5268	0.00291
Pyrus communis	23211	S	4198	1348	5546	0.00306
Prunus mume	102107	S	2129	1027	3156	0.00174
Prunus persica	3760	S	1621	1113	2734	0.00151
Prunus dulcis	3755	S	1347	894	2241	0.00124
Rosa chinensis	74649	S	3371	742	4113	0.00227
Rosa rugosa	74645	S	2631	855	3486	0.00193
Argentina anserina	57926	S	2147	1293	3440	0.00190
Fragaria vesca	57918	S	1815	824	2639	0.00146
Humulus lupulus	3486	S	19021	9537	28558	0.01578
Cannabis sativa	3483	S	8979	1512	10491	0.00580
Ziziphus jujuba	326968	S	7728	5677	13405	0.00741
Hevea brasiliensis	3981	S	15992	2983	18975	0.01049
Manihot esculenta	3983	S	9377	4459	13836	0.00765
Ricinus communis	3988	S	5713	2235	7948	0.00439
Mercurialis annua	3986	S	5621	5759	11380	0.00629
Euphorbia lathyris	212925	S	8475	1520	9995	0.00552
Populus nigra	3691	S	6407	21499	27906	0.01542
Populus trichocarpa	3694	S	6225	2365	8590	0.00475
Juglans regia	51240	S	5757	4132	9889	0.00546
Juglans microcarpa x Juglans regia	2249226	S	5724	2481	8205	0.00453
Carya illinoinensis	32201	S	7482	3882	11364	0.00628
Quercus lobata	97700	S	7188	4663	11851	0.00655
Quercus robur	38942	S	7143	9371	16514	0.00913
Alnus glutinosa	3517	S	6310	7391	13701	0.00757
Corylus avellana	13451	S	5765	1106	6871	0.00380
Benincasa hispida	102211	S	11364	808	12172	0.00673
Cucumis melo	3656	S	5584	31291	36875	0.02038
Cucumis sativus	3659	S	4256	861	5117	0.00283
Cucurbita pepo	3663	S	3967	1257	5224	0.00289
Tripterygium wilfordii	458696	S	2884	2197	5081	0.00281
Gossypium hirsutum	3635	S	12084	8327	20411	0.01128
Gossypium arboreum	29729	S	6230	4297	10527	0.00582
Gossypium raimondii	29730	S	5339	3328	8667	0.00479
Theobroma cacao	3641	S	4029	377	4406	0.00243
Brassica napus	3708	S	4542	18419	22961	0.01269
Brassica oleracea	3712	S	2095	2224	4319	0.00239
Brassica rapa	3711	S	1554	3120	4674	0.00258
Raphanus sativus	3726	S	4925	16161	21086	0.01165
Camelina sativa	90675	S	8039	741	8780	0.00485
Arabidopsis thaliana	3702	S	1363	331	1694	0.00094
Eucalyptus grandis	71139	S	7438	5420	12858	0.00711
Rhodamnia argentea	178133	S	3615	909	4524	0.00250
Punica granatum	22663	S	3847	1281	5128	0.00283
Mangifera indica	29780	S	5688	2448	8136	0.00450
Citrus sinensis	2711	S	4339	1884	6223	0.00344
Vitis riparia	96939	S	5189	4708	9897	0.00547
Vitis vinifera	29760	S	4778	5233	10011	0.00553
Solanum lycopersicum	4081	S	14867	32679	47546	0.02627
Solanum pennellii	28526	S	13547	4263	17810	0.00984
Solanum dulcamara	45834	S	7356	5017	12373	0.00684
Solanum stenotomum	172797	S	6869	1118	7987	0.00441
Capsicum annuum	4072	S	24343	1631	25974	0.01435
Lycium barbarum	112863	S	8372	2150	10522	0.00581
Lycium ferocissimum	112874	S	7413	2545	9958	0.00550
Nicotiana sylvestris	4096	S	9956	2143	12099	0.00669
Nicotiana attenuata	49451	S	8972	3227	12199	0.00674
Nicotiana tomentosiformis	4098	S	8030	1623	9653	0.00533
Ipomoea triloba	35885	S	5380	2530	7910	0.00437
Salvia miltiorrhiza	226208	S	6133	942	7075	0.00391
Salvia hispanica	49212	S	3329	906	4235	0.00234
Salvia splendens	180675	S	6741	1265	8006	0.00442
Olea europaea	4146	S	10532	897	11429	0.00632
Sesamum indicum	4182	S	4856	924	5780	0.00319
Coffea arabica	13443	S	4448	1929	6377	0.00352
Coffea eugenioides	49369	S	1717	1809	3526	0.00195
Rutidosis leptorrhynchoides	125765	S	20473	9308	29781	0.01646
Helianthus annuus	4232	S	15854	1691	17545	0.00970
Erigeron canadensis	72917	S	4638	791	5429	0.00300
Lactuca sativa	4236	S	14501	3881	18382	0.01016
Cynara cardunculus	4265	S	6445	795	7240	0.00400
Daucus carota	4039	S	4291	989	5280	0.00292
Impatiens glandulifera	253017	S	11827	3430	15257	0.00843
Actinidia eriantha	165200	S	9698	1093	10791	0.00596
Diospyros lotus	55363	S	8790	1167	9957	0.00550
Rhododendron vialii	182163	S	5065	1001	6066	0.00335
Beta vulgaris	161934	S	6201	2249	8450	0.00467
Spinacia oleracea	3562	S	5265	26228	31493	0.01740
Amaranthus tricolor	29722	S	5520	22669	28189	0.01558
Malania oleifera	397392	S	16946	3308	20254	0.01119
Triticum aestivum	4565	S	21802	23532	45334	0.02505
Triticum dicoccoides	85692	S	11656	11244	22900	0.01265
Triticum urartu	4572	S	10888	6588	17476	0.00966
Aegilops tauschii	37682	S	6500	7552	14052	0.00776
Hordeum vulgare	4513	S	19345	10345	29690	0.01641
Lolium rigidum	89674	S	8871	2619	11490	0.00635
Lolium perenne	4522	S	6156	3933	10089	0.00558
Brachypodium distachyon	15368	S	3670	657	4327	0.00239
Oryza brachyantha	4533	S	5430	1290	6720	0.00371
Oryza sativa	4530	S	4342	11444	15786	0.00872
Oryza glaberrima	4538	S	3310	3461	6771	0.00374
Miscanthus floridulus	154761	S	14590	2385	16975	0.00938
Zea mays	4577	S	9342	4296	13638	0.00754
Sorghum bicolor	4558	S	5349	2777	8126	0.00449
Panicum virgatum	38727	S	12457	2507	14964	0.00827
Panicum hallii	206008	S	5363	1150	6513	0.00360
Setaria italica	4555	S	1687	2811	4498	0.00249
Setaria viridis	4556	S	1583	2579	4162	0.00230
Phragmites australis	29695	S	7446	2081	9527	0.00526
Ananas comosus	4615	S	6599	2241	8840	0.00488
Zingiber officinale	94328	S	15234	625	15859	0.00876
Musa acuminata	4641	S	8470	20724	29194	0.01613
Elaeis guineensis	51953	S	12050	1741	13791	0.00762
Phoenix dactylifera	42345	S	5752	1418	7170	0.00396
Asparagus officinalis	4686	S	6911	776	7687	0.00425
Dioscorea cayenensis	29710	S	6056	675	6731	0.00372
Telopea speciosissima	54955	S	8158	1091	9249	0.00511
Macadamia integrifolia	60698	S	7959	1410	9369	0.00518
Papaver somniferum	3469	S	11375	384	11759	0.00650
Magnolia sinica	86752	S	10546	469	11015	0.00609
Nymphaea colorata	210225	S	4196	476	4672	0.00258
Cryptomeria japonica	3369	S	34257	4051	38308	0.02117
Physcomitrium patens	3218	S	4896	50	4946	0.00273
Roya obtusa	104537	S	163	131	294	0.00016
Cylindrocystis brebissonii	102167	S	24	5	29	0.00002
Netrium digitus	43946	S	87	23	110	0.00006
Spirogyra maxima	3180	S	61	19	80	0.00004
Zygnema circumcarinatum	35869	S	38	10	48	0.00003
Closterium baillyanum	1416941	S	147	49	196	0.00011
Cosmarium botrytis	33101	S	23	20	43	0.00002
Coleochaete scutata	3125	S	212	20	232	0.00013
Chaetosphaeridium globosum	96477	S	127	33	160	0.00009
Chara vulgaris	55564	S	122	54	176	0.00010
Interfilum terricola	163310	S	146	370	516	0.00029
Entransia fimbriata	130991	S	111	13	124	0.00007
Klebsormidium flaccidum	3175	S	10	0	10	0.00001
Chlorokybus atmophyticus	3144	S	169	83	252	0.00014
Mesostigma viride	41882	S	155	127	282	0.00016
Chlamydomonas reinhardtii	3055	S	41556	4923	46479	0.02568
Chlamydomonas leiostraca	1034604	S	2565	1363	3928	0.00217
Chlamydomonas moewusii	3054	S	153	0	153	0.00008
Carteria cerasiformis	69401	S	347	19	366	0.00020
Oogamochlamys gigantea	158507	S	343	48	391	0.00022
Polytoma uvella	40532	S	21	0	21	0.00001
Chlorococcum tatrense	915274	S	7841	2013	9854	0.00545
Volvox carteri	3067	S	4377	492	4869	0.00269
Volvox africanus	51714	S	378	394	772	0.00043
Gonium pectorale	33097	S	768	876	1644	0.00091
Yamagishiella unicocca	51707	S	546	503	1049	0.00058
Colemanosphaera angeleri	1454018	S	315	346	661	0.00037
Pleodorina starrii	330485	S	224	196	420	0.00023
Dunaliella salina	3046	S	1967	262	2229	0.00123
Spermatozopsis similis	3192	S	624	302	926	0.00051
Hafniomonas laevis	436124	S	529	22	551	0.00030
Haematococcus lacustris	44745	S	2746	59	2805	0.00155
Phacotus lenticularis	52965	S	1041	205	1246	0.00069
Characiochloris acuminata	167768	S	1012	431	1443	0.00080
Pleurastrum terricola	34116	S	89	8	97	0.00005
Pseudopediastrum sp. CL0201VA	2184484	S	237	277	514	0.00028
Pseudopediastrum boryanum	55410	S	44	73	117	0.00006
Pseudopediastrum integrum	271402	S	31	55	86	0.00005
Lacunastrum gracillimum	427913	S	354	231	585	0.00032
Pediastrum angulosum	271408	S	186	203	389	0.00021
Pediastrum duplex	3105	S	95	83	178	0.00010
Stauridium tetras	271398	S	275	154	429	0.00024
Hydrodictyon reticulatum	3107	S	125	229	354	0.00020
Pectinodesmus pectinatus	91197	S	502	203	705	0.00039
Coelastrella saipanensis	152631	S	356	120	476	0.00026
Tetradesmus obliquus	3088	S	316	175	491	0.00027
Chlorotetraedron incus	162317	S	668	193	861	0.00048
Neochloris aquatica	3099	S	547	46	593	0.00033
Monoraphidium neglectum	145388	S	600	385	985	0.00054
Kirchneriella aperta	117505	S	362	84	446	0.00025
Ankistrodesmus falcatus	52960	S	25	0	25	0.00001
Ourococcus multisporus	132186	S	14	0	14	0.00001
Ankyra judayi	52688	S	699	428	1127	0.00062
Parallela transversalis	163324	S	263	3	266	0.00015
Bracteacoccus aerius	50041	S	298	153	451	0.00025
Bracteacoccus minor	50037	S	229	113	342	0.00019
Bracteacoccus giganteus	50039	S	209	95	304	0.00017
Chromochloris zofingiensis	31302	S	488	122	610	0.00034
Pseudomuriella schumacherensis	889459	S	466	170	636	0.00035
Mychonastes homosphaera	31300	S	254	190	444	0.00025
Mychonastes jurisii	797708	S	48	48	96	0.00005
Neocystis brevis	1065496	S	172	68	240	0.00013
Oedocladium carolinianum	55992	S	18644	3415	22059	0.01219
Oedogonium cardiacum	55995	S	15215	3523	18738	0.01035
Chaetophoropsis polyrhiza	2079440	S	7567	728	8295	0.00458
Stigeoclonium helveticum	55999	S	643	51	694	0.00038
Uronema confervicola	764120	S	2957	372	3329	0.00184
Aphanochaete confervicola	764104	S	1029	223	1252	0.00069
Aphanochaete elegans	764105	S	723	169	892	0.00049
Schizomeris leibleinii	104533	S	582	38	620	0.00034
Floydiella terrestris	51328	S	293	2	295	0.00016
Chlorosarcinopsis eremi	332213	S	2437	438	2875	0.00159
Jenufa perforata	993091	S	326	8	334	0.00018
Jenufa minuta	993092	S	113	22	135	0.00007
Treubaria triappendiculata	1755147	S	155	19	174	0.00010
Microspora stagnorum	163317	S	68	0	68	0.00004
Chlorella heliozoae	554066	S	229	111	340	0.00019
Chlorella variabilis	554065	S	223	69	292	0.00016
Chlorella vulgaris	3077	S	220	46	266	0.00015
Chlorella sorokiniana	3076	S	73	26	99	0.00005
Micractinium conductrix	554055	S	244	91	335	0.00019
Micractinium variabile	2726146	S	46	1	47	0.00003
Prototheca wickerhamii	3111	S	167	27	194	0.00011
Prototheca cutis	575411	S	89	19	108	0.00006
Prototheca bovis	2509265	S	33	42	75	0.00004
Prototheca ciferrii	1973153	S	19	25	44	0.00002
Parachlorella kessleri	3074	S	245	270	515	0.00028
Auxenochlorella protothecoides	3075	S	202	37	239	0.00013
Pseudochloris wilhelmii	1418016	S	169	118	287	0.00016
Pseudochlorella signiensis	173497	S	162	175	337	0.00019
Marvania geminata	97105	S	106	50	156	0.00009
Dicloster acuatus	91190	S	97	54	151	0.00008
Geminella minor	163309	S	97	417	514	0.00028
Helicosporidium sp. ex Simulium jonesi	145475	S	76	0	76	0.00004
Binuclearia lauterbornii	3087189	S	98	115	213	0.00012
Koliella corcontica	155904	S	201	104	305	0.00017
Koliella longiseta	33092	S	77	79	156	0.00009
Edaphochlorella mirabilis	3083	S	254	244	498	0.00028
Stichococcus bacillaris	37433	S	115	18	133	0.00007
Trebouxia lynnae	1825957	S	206	27	233	0.00013
Myrmecia israelensis	3171	S	164	68	232	0.00013
Lobosphaera incisa	312850	S	142	30	172	0.00010
Parietochloris pseudoalveolaris	3102	S	65	50	115	0.00006
Symbiochloris handae	1853882	S	63	2	65	0.00004
Choricystis parasitica	41300	S	268	60	328	0.00018
Botryococcus braunii	38881	S	191	35	226	0.00012
Coccomyxa subellipsoidea	248742	S	51	11	62	0.00003
Xylochloris irregularis	480381	S	85	14	99	0.00005
Microthamnion kuetzingianum	34148	S	202	70	272	0.00015
Fusochloris perforata	106203	S	84	29	113	0.00006
Watanabea reniformis	191674	S	149	22	171	0.00009
Jaagichlorella roystonensis	1052852	S	84	0	84	0.00005
Jaagichlorella hainangensis	445995	S	53	0	53	0.00003
Trebouxiophyceae sp. MX-AZ01	1208065	S	82	8	90	0.00005
Scherffelia dubia	3190	S	254	80	334	0.00018
Tupiella akineta	160070	S	16687	1571	18258	0.01009
Hazenia capsulata	2202518	S	616	91	707	0.00039
Sarcinofilum mucosum	141643	S	606	63	669	0.00037
Capsosiphon fulvescens	205396	S	148	45	193	0.00011
Gloeotilopsis sterilis	160069	S	64	227	291	0.00016
Ulva rigida	75689	S	58	74	132	0.00007
Ulva fenestrata	83795	S	37	98	135	0.00007
Ulva australis	111616	S	27	341	368	0.00020
Ulva compressa	63659	S	19	169	188	0.00010
Ulva sp. TM708	2496873	S	14	31	45	0.00002
Ulva gigantea	523338	S	14	35	49	0.00003
Pseudoneochloris marina	44573	S	159	82	241	0.00013
Blidingia minima	63414	S	68	1	69	0.00004
Neodangemannia microcystis	173495	S	223	17	240	0.00013
Bryopsis sp. HV04063	1979421	S	219	76	295	0.00016
Bryopsis hypnoides	222885	S	50	24	74	0.00004
Bryopsis plumosa	3130	S	24	13	37	0.00002
Lambia antarctica	101717	S	290	67	357	0.00020
Codium fragile	3133	S	315	0	315	0.00017
Codium arabicum	221038	S	67	7	74	0.00004
Codium simulans	589376	S	52	8	60	0.00003
Codium arenicola	1191365	S	34	3	37	0.00002
Pedobesia claviformis	2364088	S	42	5	47	0.00003
Derbesia sp. WEST4838	1847751	S	23	1	24	0.00001
Caulerpa verticillata	177082	S	139	9	148	0.00008
Caulerpa manorensis	717648	S	134	75	209	0.00012
Caulerpa lentillifera	148947	S	88	4	92	0.00005
Caulerpa cliftonii	1004391	S	39	1	40	0.00002
Caulerpa racemosa	76317	S	22	8	30	0.00002
Caulerpa ashmeadii	177078	S	15	1	16	0.00001
Boodleopsis pusilla	381415	S	109	8	117	0.00006
Boodleopsis sp. H.0758	2320802	S	85	9	94	0.00005
