Classification	EW01	EW02	EW03	EW04	EW05	EW06	EW07	EW08	EW09	EW10	EW11	EW12	EW13	EW14	EW15	EW16	EW17	EW18	EW19	EW20	EW21	EW22	EW23	EW24	EW25	EW26
k__Viridiplantae|p__Prasinodermophyta|c__Prasinodermophyceae|o__Prasinodermales|f__Prasinodermaceae|g__Prasinoderma|s__Prasinoderma_coloniale	313	331	381	250	281	300	248	257	263	338	333	314	244	281	265	238	219	327	216	252	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Palmophyllophyceae|o__Palmophyllales|f__Palmophyllaceae|g__Palmophyllum|s__Palmophyllum_crassum	77	50	47	102	39	42	52	42	145	167	130	43	0	31	90	42	89	34	145	36	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|f__Pycnococcaceae|g__Pycnococcus|s__Pycnococcus_provasolii	141	130	86	140	67	45	91	40	222	76	87	123	93	62	203	75	58	107	41	116	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Nephroselmidophyceae|o__Nephroselmidales|f__Nephroselmidaceae|g__Nephroselmis|s__Nephroselmis_pyriformis	39	27	106	26	34	45	58	0	196	39	30	17	74	0	39	0	54	31	16	0	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Nephroselmidophyceae|o__Nephroselmidales|f__Nephroselmidaceae|g__Nephroselmis|s__Nephroselmis_astigmatica	81	40	22	45	230	25	36	23	48	72	69	46	64	33	53	45	40	42	38	37	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Nephroselmidophyceae|o__Nephroselmidales|f__Nephroselmidaceae|g__Nephroselmis|s__Nephroselmis_olivacea	85	115	70	188	226	86	123	96	76	129	146	94	82	87	212	151	214	87	176	85	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Picocystophyceae|o__Picocystales|f__Picocystaceae|g__Picocystis|s__Picocystis_salinarum	302	241	523	251	366	354	219	349	493	285	377	347	300	359	246	305	287	357	267	300	52	37	73	89	54	40
k__Viridiplantae|p__Chlorophyta|c__Pedinophyceae|o__Pedinomonadales|f__Pedinomonadaceae|g__Pedinomonas|s__Pedinomonas_tuberculata	136	142	76	213	303	77	168	156	200	245	227	98	65	104	230	208	400	180	227	83	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Pedinophyceae|o__Pedinomonadales|f__Pedinomonadaceae|g__Pedinomonas|s__Pedinomonas_minor	272	284	87	426	326	150	195	266	620	408	339	217	104	187	416	297	458	162	432	100	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Pyramimonadophyceae|o__Pyramimonadales|f__Pyramimonadaceae|g__Pyramimonas|s__Pyramimonas_parkeae	200	292	200	322	364	123	179	275	307	409	356	157	151	132	419	245	453	267	384	97	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Pyramimonadophyceae|o__Pyramimonadales|f__Pyramimonadaceae|g__Cymbomonas|s__Cymbomonas_tetramitiformis	212	286	135	251	354	117	306	249	167	216	264	189	144	224	430	206	370	292	200	184	0	0	0	26	0	0
k__Viridiplantae|p__Chlorophyta|c__Chloropicophyceae|o__Chloropicales|f__Chloropicaceae|g__Chloroparvula|s__Chloroparvula_pacifica	105	77	87	160	154	51	76	84	128	221	150	60	95	111	179	113	176	72	112	51	70	23	52	58	57	37
k__Viridiplantae|p__Chlorophyta|c__Chloropicophyceae|o__Chloropicales|f__Chloropicaceae|g__Chloroparvula|s__Chloroparvula_japonica	198	52	106	71	108	73	92	65	67	142	75	38	69	37	34	101	141	161	122	28	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chloropicophyceae|o__Chloropicales|f__Chloropicaceae|g__Chloropicon|s__Chloropicon_sieburthii	67	91	192	124	75	28	129	52	124	66	56	57	63	62	80	87	77	185	51	51	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chloropicophyceae|o__Chloropicales|f__Chloropicaceae|g__Chloropicon|s__Chloropicon_primus	47	33	91	86	78	26	38	38	0	14	58	13	95	73	59	44	45	55	24	20	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chloropicophyceae|o__Chloropicales|f__Chloropicaceae|g__Chloropicon|s__Chloropicon_laureae	90	62	59	133	141	34	98	69	147	91	111	46	64	83	102	100	243	129	136	43	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chloropicophyceae|o__Chloropicales|f__Chloropicaceae|g__Chloropicon|s__Chloropicon_roscoffensis	96	193	130	147	370	232	97	113	117	157	295	136	122	278	249	140	179	152	166	125	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chloropicophyceae|o__Chloropicales|f__Chloropicaceae|g__Chloropicon|s__Chloropicon_mariensis	135	81	68	174	180	65	70	125	272	237	201	104	102	113	196	122	255	74	222	51	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chloropicophyceae|o__Chloropicales|f__Chloropicaceae|g__Chloropicon|s__Chloropicon_maureeniae	118	41	53	156	85	79	78	68	185	243	166	63	42	59	59	109	93	129	122	41	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Mamiellophyceae|o__Dolichomastigales|g__Microrhizoidea|s__Microrhizoidea_pickettheapsiorum	49	25	27	47	119	58	83	46	76	61	90	74	14	54	52	37	118	72	38	74	25	0	0	36	0	11
k__Viridiplantae|p__Chlorophyta|c__Mamiellophyceae|o__Monomastigales|f__Monomastigaceae|g__Monomastix|s__Monomastix_sp._OKE-1	223	174	170	162	272	151	134	125	168	267	224	203	270	171	203	177	169	179	206	157	0	0	16	0	0	0
