sample	type	category	ID_pond	treatment	pond_group
EW01	experimental	experimental	4A	herbivory	1
EW02	experimental	experimental	4B    	control	1
EW03	experimental	experimental	4C	control	1
EW04	experimental	experimental	4D	herbivory	1
EW05	experimental	experimental	5A	herbivory	2
EW06	experimental	experimental	5B	control	2
EW07	experimental	experimental	5C	control	2
EW08	experimental	experimental	5D	herbivory	2
EW09	experimental	experimental	7A	control	3
EW10	experimental	experimental	7B	herbivory	3
EW11	experimental	experimental	7C	herbivory	3
EW12	experimental	experimental	7D	control	3
EW13	experimental	experimental	8B	control	4
EW14	experimental	experimental	8D	herbivory	4
EW15	control_w12	control_w12	4B	control	1
EW16	control_w12	control_w12	4D	herbivory	1
EW17	control_w12	control_w12	5A	herbivory	2
EW18	control_w12	control_w12	5C	control	2
EW19	control_w12	control_w12	7B	herbivory	3
EW20	control_w12	control_w12	7D	control	3
EW21	control_w0	control_w0	other_sample	other_sample	0
EW22	control_w0	control_w0	other_sample	other_sample	0
EW23	control_w0	control_w0	other_sample	other_sample	0
EW24	control_w0_mix	control_w0	other_sample	other_sample	0
EW25	control_w0_mix	control_w0	other_sample	other_sample	0
EW26	control_w0_mix	control_w0	other_sample	other_sample	0
