Classification	EW27	EW28	EW29	EW30	EW31	EW32	EW33	EW34	EW35	EW36	EW37	EW38
k__Viridiplantae|p__Prasinodermophyta|c__Prasinodermophyceae|o__Prasinodermales|f__Prasinodermaceae|g__Prasinoderma|s__Prasinoderma_coloniale	250	295	292	188	260	229	143	448	415	303	138	274
k__Viridiplantae|p__Chlorophyta|f__Pycnococcaceae|g__Pycnococcus|s__Pycnococcus_provasolii	17	125	94	39	21	33	119	52	104	126	26	58
k__Viridiplantae|p__Chlorophyta|c__Palmophyllophyceae|o__Palmophyllales|f__Palmophyllaceae|g__Palmophyllum|s__Palmophyllum_crassum	27	29	31	37	67	26	41	38	28	48	18	126
k__Viridiplantae|p__Chlorophyta|c__Nephroselmidophyceae|o__Nephroselmidales|f__Nephroselmidaceae|g__Nephroselmis|s__Nephroselmis_pyriformis	23	118	72	21	52	0	66	34	176	95	0	20
k__Viridiplantae|p__Chlorophyta|c__Nephroselmidophyceae|o__Nephroselmidales|f__Nephroselmidaceae|g__Nephroselmis|s__Nephroselmis_olivacea	43	50	54	37	79	12	104	71	86	123	31	84
k__Viridiplantae|p__Chlorophyta|c__Nephroselmidophyceae|o__Nephroselmidales|f__Nephroselmidaceae|g__Nephroselmis|s__Nephroselmis_astigmatica	53	65	58	28	30	65	126	116	51	59	42	80
k__Viridiplantae|p__Chlorophyta|c__Pedinophyceae|o__Pedinomonadales|f__Pedinomonadaceae|g__Pedinomonas|s__Pedinomonas_minor	71	295	125	112	86	0	159	100	185	319	59	287
k__Viridiplantae|p__Chlorophyta|c__Pedinophyceae|o__Pedinomonadales|f__Pedinomonadaceae|g__Pedinomonas|s__Pedinomonas_tuberculata	109	110	75	59	69	80	165	111	99	53	60	149
k__Viridiplantae|p__Chlorophyta|c__Pyramimonadophyceae|o__Pyramimonadales|f__Pyramimonadaceae|g__Pyramimonas|s__Pyramimonas_parkeae	88	114	100	43	143	38	117	166	96	84	34	184
k__Viridiplantae|p__Chlorophyta|c__Pyramimonadophyceae|o__Pyramimonadales|f__Pyramimonadaceae|g__Cymbomonas|s__Cymbomonas_tetramitiformis	101	83	120	125	168	81	505	146	207	154	66	222
