sample	type	category	ID_pond	treatment	week
EW01	experimental	experimental	4A	herbivory	w11
EW02	experimental	experimental	4B    	control	w11
EW03	experimental	experimental	4C	control	w11
EW04	experimental	experimental	4D	herbivory	w11
EW05	experimental	experimental	5A	herbivory	w11
EW06	experimental	experimental	5B	control	w11
EW07	experimental	experimental	5C	control	w11
EW08	experimental	experimental	5D	herbivory	w11
EW09	experimental	experimental	7A	control	w11
EW10	experimental	experimental	7B	herbivory	w11
EW11	experimental	experimental	7C	herbivory	w11
EW12	experimental	experimental	7D	control	w11
EW13	experimental	experimental	8B	control	w11
EW14	experimental	experimental	8D	herbivory	w11
EW15	control_w12	control_w12	4B	control	w11
EW16	control_w12	control_w12	4D	herbivory	w11
EW17	control_w12	control_w12	5A	herbivory	w11
EW18	control_w12	control_w12	5C	control	w11
EW19	control_w12	control_w12	7B	herbivory	w11
EW20	control_w12	control_w12	7D	control	w11
EW21	control_w0	control_w0	other_sample	other_sample	w0
EW22	control_w0	control_w0	other_sample	other_sample	w0
EW23	control_w0	control_w0	other_sample	other_sample	w0
EW24	control_w0_mix	control_w0	other_sample	other_sample	w0
EW25	control_w0_mix	control_w0	other_sample	other_sample	w0
EW26	control_w0_mix	control_w0	other_sample	other_sample	w0
EW27	experimental	experimental	4A	herbivory	w61
EW28	experimental	experimental	4B    	control	w61
EW29	experimental	experimental	4C	control	w61
EW30	experimental	experimental	4D	herbivory	w61
EW31	experimental	experimental	5A	herbivory	w61
EW32	experimental	experimental	5B	control	w61
EW33	experimental	experimental	5C	control	w61
EW34	experimental	experimental	7B	herbivory	w61
EW35	experimental	experimental	7C	herbivory	w61
EW36	experimental	experimental	7D	control	w61
EW37	experimental	experimental	8B	control	w61
EW38	experimental	experimental	8D	herbivory	w61
